x,rho,vitesse,pression
0.002,0.928795,46.435,258822
0.006,0.926565,47.9349,257953
0.01,0.924165,49.5528,257018
0.014,0.92174,51.1903,256075
0.018,0.919302,52.84,255128
0.022,0.916853,54.501,254178
0.026,0.914393,56.1725,253225
0.03,0.911924,57.8542,252269
0.034,0.909446,59.5455,251310
0.038,0.906959,61.2459,250350
0.042,0.904466,62.9549,249388
0.046,0.901966,64.6723,248424
0.05,0.899459,66.3976,247459
0.054,0.896948,68.1304,246493
0.058,0.894431,69.8703,245527
0.062,0.891911,71.6171,244560
0.066,0.889386,73.3704,243592
0.07,0.886859,75.1299,242625
0.074,0.884328,76.8953,241657
0.078,0.881796,78.6664,240690
0.082,0.879261,80.4428,239723
0.086,0.876725,82.2245,238757
0.09,0.874188,84.011,237791
0.094,0.871649,85.8023,236826
0.098,0.869111,87.5981,235862
0.102,0.866572,89.3981,234899
0.106,0.864033,91.2023,233938
0.11,0.861495,93.0105,232977
0.114,0.858957,94.8224,232018
0.118,0.85642,96.6379,231061
0.122,0.853885,98.4569,230105
0.126,0.85135,100.279,229151
0.13,0.848817,102.105,228198
0.134,0.846286,103.933,227247
0.138,0.843757,105.765,226298
0.142,0.84123,107.599,225351
0.146,0.838706,109.436,224406
0.15,0.836184,111.276,223463
0.154,0.833664,113.118,222523
0.158,0.831147,114.962,221584
0.162,0.828634,116.809,220648
0.166,0.826123,118.658,219714
0.17,0.823615,120.509,218782
0.174,0.821111,122.363,217853
0.178,0.81861,124.218,216926
0.182,0.816113,126.075,216001
0.186,0.813619,127.934,215079
0.19,0.811129,129.794,214159
0.194,0.808643,131.657,213242
0.198,0.80616,133.521,212328
0.202,0.803682,135.386,211416
0.206,0.801207,137.253,210507
0.21,0.798737,139.122,209600
0.214,0.796271,140.992,208696
0.218,0.793809,142.863,207795
0.222,0.791352,144.736,206896
0.226,0.788899,146.61,206000
0.23,0.786451,148.485,205107
0.234,0.784006,150.361,204217
0.238,0.781567,152.239,203329
0.242,0.779132,154.117,202445
0.246,0.776702,155.997,201563
0.25,0.774276,157.878,200684
0.254,0.771856,159.759,199807
0.258,0.76944,161.642,198934
0.262,0.767029,163.526,198063
0.266,0.764622,165.41,197195
0.27,0.762221,167.295,196330
0.274,0.759825,169.182,195468
0.278,0.757433,171.069,194609
