x,rho,vitesse,pression
0.002,0.862981,91.9451,233539
0.006,0.861029,93.3368,232800
0.01,0.858794,94.9343,231955
0.014,0.856518,96.564,231096
0.018,0.854237,98.2006,230235
0.022,0.851956,99.8404,229376
0.026,0.849677,101.483,228518
0.03,0.8474,103.127,227662
0.034,0.845124,104.774,226808
0.038,0.84285,106.423,225954
0.042,0.840578,108.074,225103
0.046,0.838309,109.727,224254
0.05,0.836041,111.382,223406
0.054,0.833776,113.039,222560
0.058,0.831513,114.698,221715
0.062,0.829252,116.358,220873
0.066,0.826995,118.02,220033
0.07,0.824739,119.684,219194
0.074,0.822487,121.349,218358
0.078,0.820238,123.016,217523
0.082,0.817991,124.684,216691
0.086,0.815748,126.353,215860
0.09,0.813507,128.024,215032
0.094,0.81127,129.696,214205
0.098,0.809036,131.37,213381
0.102,0.806805,133.045,212559
0.106,0.804578,134.721,211739
0.11,0.802353,136.398,210921
0.114,0.800133,138.076,210105
0.118,0.797916,139.755,209292
0.122,0.795702,141.435,208481
0.126,0.793492,143.116,207672
0.13,0.791286,144.799,206865
0.134,0.789083,146.482,206060
0.138,0.786884,148.166,205258
0.142,0.784688,149.851,204458
0.146,0.782497,151.536,203660
0.15,0.780309,153.223,202865
0.154,0.778125,154.91,202071
0.158,0.775945,156.599,201280
0.162,0.773769,158.288,200492
0.166,0.771597,159.977,199705
0.17,0.769429,161.668,198921
0.174,0.767264,163.359,198140
0.178,0.765104,165.05,197360
0.182,0.762948,166.743,196583
0.186,0.760796,168.436,195809
0.19,0.758648,170.129,195036
0.194,0.756504,171.823,194267
0.198,0.754364,173.518,193499
0.202,0.752228,175.213,192734
0.206,0.750096,176.909,191971
0.21,0.747969,178.606,191210
0.214,0.745845,180.302,190452
0.218,0.743726,182,189696
0.222,0.741611,183.698,188943
0.226,0.739501,185.396,188192
0.23,0.737394,187.095,187443
0.234,0.735292,188.794,186696
0.238,0.733194,190.493,185952
0.242,0.7311,192.193,185211
0.246,0.729011,193.894,184471
0.25,0.726926,195.594,183734
0.254,0.724845,197.295,183000
0.258,0.722769,198.997,182268
0.262,0.720696,200.699,181538
0.266,0.718629,202.401,180810
0.27,0.716565,204.103,180085
0.274,0.714506,205.806,179363
0.278,0.712451,207.509,178642
0.282,0.710401,209.212,177924
0.286,0.708354,210.916,177209
0.29,0.706313,212.62,176495
0.294,0.704275,214.324,175784
0.298,0.702242,216.028,175076
0.302,0.700214,217.733,174369
0.306,0.698189,219.438,173665
0.31,0.69617,221.143,172964
0.314,0.694154,222.848,172265
0.318,0.692143,224.554,171568
0.322,0.690136,226.259,170873
0.326,0.688134,227.965,170181
0.33,0.686136,229.671,169491
0.334,0.684143,231.378,168804
0.338,0.682154,233.084,168118
0.342,0.680169,234.791,167435
0.346,0.678189,236.497,166755
0.35,0.676213,238.204,166076
0.354,0.674242,239.911,165400
0.358,0.672275,241.619,164727
0.362,0.670313,243.326,164055
0.366,0.668355,245.033,163386
0.37,0.666401,246.741,162720
0.374,0.664452,248.449,162055
0.378,0.662507,250.156,161393
0.382,0.660567,251.864,160733
0.386,0.658631,253.572,160075
0.39,0.656699,255.28,159420
0.394,0.654772,256.988,158767
0.398,0.65285,258.696,158116
0.402,0.650932,260.404,157468
0.406,0.649018,262.113,156821
0.41,0.647109,263.821,156177
0.414,0.645204,265.529,155536
0.418,0.643303,267.238,154896
0.422,0.641407,268.946,154259
0.426,0.639516,270.654,153624
0.43,0.637629,272.363,152991
0.434,0.635746,274.071,152361
0.438,0.633868,275.779,151732
0.442,0.631994,277.488,151106
0.446,0.630124,279.196,150483
0.45,0.628259,280.905,149861
0.454,0.626399,282.613,149241
0.458,0.624543,284.321,148624
0.462,0.622691,286.029,148009
0.466,0.620844,287.738,147396
0.47,0.619001,289.446,146786
0.474,0.617163,291.154,146177
0.478,0.615329,292.862,145571
0.482,0.613499,294.57,144967
0.486,0.611674,296.277,144365
0.49,0.609853,297.985,143766
0.494,0.608037,299.693,143168
0.498,0.606225,301.4,142573
0.502,0.604418,303.108,141980
0.506,0.602615,304.815,141389
0.51,0.600816,306.522,140800
0.514,0.599022,308.229,140213
0.518,0.597232,309.936,139629
0.522,0.595447,311.643,139046
0.526,0.593666,313.349,138466
0.53,0.591889,315.056,137888
0.534,0.590117,316.762,137312
0.538,0.58835,318.468,136738
0.542,0.586586,320.174,136166
0.546,0.584827,321.88,135596
0.55,0.583073,323.585,135029
0.554,0.581323,325.29,134464
0.558,0.579577,326.995,133900
0.562,0.577836,328.7,133339
0.566,0.5761,330.405,132780
0.57,0.574367,332.109,132223
0.574,0.572639,333.813,131668
0.578,0.570916,335.516,131115
0.582,0.569197,337.22,130564
0.586,0.567482,338.923,130016
0.59,0.565772,340.626,129469
0.594,0.564066,342.328,128925
0.598,0.562365,344.03,128382
0.602,0.560668,345.732,127842
0.606,0.558975,347.434,127304
0.61,0.557287,349.135,126767
