x,rho,vitesse,pression
0.002,0.996412,2.27712,285560
0.006,0.99585,2.63422,285334
0.01,0.995223,3.03333,285083
0.014,0.994527,3.4759,284804
0.018,0.993761,3.96406,284497
0.022,0.99292,4.49969,284160
0.026,0.992003,5.08449,283792
0.03,0.991007,5.71984,283394
0.034,0.989931,6.40688,282963
0.038,0.988773,7.14645,282500
0.042,0.987534,7.93911,282005
0.046,0.986213,8.78515,281477
0.05,0.984809,9.68457,280917
0.054,0.983325,10.6371,280324
0.058,0.98176,11.6423,279700
0.062,0.980117,12.6994,279046
0.066,0.978397,13.8075,278361
0.07,0.976602,14.9655,277646
0.074,0.974734,16.1721,276904
0.078,0.972796,17.4261,276133
0.082,0.97079,18.726,275337
0.086,0.968719,20.0701,274516
0.09,0.966586,21.457,273671
0.094,0.964394,22.8849,272803
0.098,0.962145,24.3523,271913
0.102,0.959843,25.8573,271003
0.106,0.95749,27.3985,270075
0.11,0.955089,28.9741,269128
0.114,0.952643,30.5825,268164
0.118,0.950154,32.2222,267185
0.122,0.947626,33.8917,266191
0.126,0.945061,35.5894,265184
0.13,0.94246,37.3139,264164
0.134,0.939827,39.0638,263132
0.138,0.937164,40.8379,262090
0.142,0.934472,42.6348,261037
0.146,0.931754,44.4534,259976
0.15,0.929012,46.2925,258907
0.154,0.926248,48.1511,257830
0.158,0.923462,50.028,256746
0.162,0.920658,51.9224,255657
0.166,0.917836,53.8332,254561
0.17,0.914998,55.7596,253461
0.174,0.912145,57.7008,252357
0.178,0.909279,59.656,251249
0.182,0.9064,61.6245,250137
0.186,0.903511,63.6055,249023
0.19,0.900612,65.5983,247907
0.194,0.897703,67.6025,246788
0.198,0.894787,69.6173,245668
0.202,0.891864,71.6423,244546
0.206,0.888934,73.6768,243424
0.21,0.885999,75.7205,242301
0.214,0.883059,77.7728,241178
0.218,0.880116,79.8334,240054
0.222,0.877169,81.9017,238931
0.226,0.874219,83.9775,237809
0.23,0.871268,86.0603,236687
0.234,0.868314,88.1498,235566
0.238,0.86536,90.2457,234447
0.242,0.862405,92.3477,233328
0.246,0.85945,94.4554,232211
0.25,0.856496,96.5687,231096
0.254,0.853542,98.6872,229983
