x,rho,vitesse,pression
0.002,1,2.34543e-07,287000
0.006,1,3.84835e-07,287000
0.01,1,6.27241e-07,287000
0.014,1,1.01554e-06,287000
0.018,1,1.63329e-06,287000
0.022,1,2.60929e-06,287000
0.026,1,4.1407e-06,287000
0.03,1,6.52697e-06,287000
0.034,1,1.02196e-05,287000
0.038,1,1.5894e-05,287000
0.042,1,2.45532e-05,287000
0.046,1,3.76748e-05,287000
0.05,1,5.74195e-05,287000
0.054,1,8.69215e-05,287000
0.058,1,0.000130692,287000
0.062,1,0.000195175,287000
0.066,1,0.000289496,287000
0.07,0.999999,0.000426482,287000
0.074,0.999999,0.000624014,287000
0.078,0.999999,0.000906813,286999
0.082,0.999998,0.00130878,286999
0.086,0.999997,0.001876,286999
0.09,0.999996,0.00267062,286998
0.094,0.999994,0.00377572,286998
0.098,0.999992,0.00530141,286997
0.102,0.999988,0.0073923,286995
0.106,0.999984,0.0102367,286994
0.11,0.999978,0.0140775,286991
0.114,0.99997,0.0192254,286988
0.118,0.999959,0.0260735,286983
0.122,0.999945,0.0351153,286978
0.126,0.999926,0.0469635,286970
0.13,0.999902,0.0623719,286960
0.134,0.99987,0.0822581,286948
0.138,0.99983,0.107728,286932
0.142,0.999779,0.140099,286911
0.146,0.999715,0.180925,286885
0.15,0.999634,0.232019,286853
0.154,0.999534,0.29547,286813
0.158,0.999411,0.373655,286763
0.162,0.99926,0.469253,286703
0.166,0.999077,0.585238,286629
0.17,0.998857,0.724873,286541
0.174,0.998594,0.891686,286435
0.178,0.998282,1.08944,286310
0.182,0.997916,1.32211,286163
0.186,0.997488,1.59378,285991
0.19,0.996992,1.90865,285792
0.194,0.996422,2.2709,285564
0.198,0.995771,2.68465,285303
0.202,0.995033,3.15389,285007
0.206,0.994203,3.68239,284674
0.21,0.993275,4.27361,284302
0.214,0.992244,4.93068,283889
0.218,0.991106,5.6563,283434
0.222,0.989858,6.45273,282934
0.226,0.988499,7.32172,282391
0.23,0.987025,8.26455,281802
0.234,0.985436,9.28199,281167
0.238,0.983733,10.3743,280488
0.242,0.981916,11.5413,279763
0.246,0.979987,12.7823,278994
0.25,0.977947,14.0963,278182
0.254,0.9758,15.4819,277328
0.258,0.973548,16.9373,276433
0.262,0.971196,18.4607,275499
0.266,0.968747,20.0498,274528
0.27,0.966205,21.7022,273521
0.274,0.963576,23.4155,272480
0.278,0.960863,25.1871,271408
0.282,0.95807,27.0144,270305
0.286,0.955204,28.8947,269175
0.29,0.952267,30.8256,268018
0.294,0.949265,32.8043,266838
0.298,0.946202,34.8283,265634
0.302,0.943082,36.8953,264410
0.306,0.939909,39.0028,263167
0.31,0.936688,41.1485,261907
0.314,0.933421,43.3302,260630
0.318,0.930113,45.5459,259340
0.322,0.926766,47.7936,258036
0.326,0.923384,50.0713,256720
0.33,0.91997,52.3774,255394
0.334,0.916527,54.71,254059
0.338,0.913058,57.0676,252716
0.342,0.909564,59.4488,251365
0.346,0.906049,61.852,250008
0.35,0.902514,64.2761,248646
0.354,0.898962,66.7196,247279
0.358,0.895395,69.1816,245908
0.362,0.891813,71.6609,244534
0.366,0.88822,74.1564,243158
0.37,0.884616,76.6673,241780
0.374,0.881003,79.1926,240401
0.378,0.877383,81.7314,239022
0.382,0.873756,84.2831,237642
0.386,0.870124,86.8469,236262
0.39,0.866488,89.4221,234884
0.394,0.862848,92.008,233506
0.398,0.859207,94.6041,232130
0.402,0.855565,97.2097,230756
0.406,0.851922,99.8244,229385
0.41,0.84828,102.448,228016
0.414,0.844638,105.079,226649
0.418,0.840999,107.718,225286
0.422,0.837362,110.365,223926
0.426,0.833729,113.018,222569
0.43,0.830099,115.677,221217
0.434,0.826473,118.343,219868
0.438,0.822851,121.015,218523
0.442,0.819235,123.693,217183
0.446,0.815625,126.375,215847
0.45,0.81202,129.063,214515
0.454,0.808422,131.755,213188
0.458,0.80483,134.452,211866
0.462,0.801245,137.153,210550
0.466,0.797668,139.859,209238
0.47,0.794098,142.568,207931
0.474,0.790536,145.281,206629
0.478,0.786982,147.998,205333
0.482,0.783436,150.717,204042
0.486,0.779899,153.44,202757
0.49,0.77637,156.167,201477
0.494,0.772851,158.896,200202
0.498,0.769341,161.627,198934
0.502,0.765839,164.362,197671
0.506,0.762348,167.099,196413
0.51,0.758866,169.838,195162
0.514,0.755394,172.58,193916
0.518,0.751931,175.324,192676
0.522,0.748479,178.07,191442
0.526,0.745037,180.818,190214
0.53,0.741605,183.567,188992
0.534,0.738183,186.319,187776
0.538,0.734772,189.072,186566
0.542,0.731371,191.827,185361
0.546,0.727981,194.584,184163
0.55,0.724602,197.342,182971
0.554,0.721233,200.101,181784
0.558,0.717875,202.862,180604
0.562,0.714528,205.624,179430
0.566,0.711192,208.387,178262
0.57,0.707867,211.151,177100
0.574,0.704554,213.916,175944
0.578,0.701251,216.683,174794
0.582,0.697959,219.45,173650
0.586,0.694679,222.218,172512
0.59,0.69141,224.987,171380
0.594,0.688152,227.757,170255
0.598,0.684906,230.528,169135
0.602,0.68167,233.299,168021
0.606,0.678447,236.071,166914
0.61,0.675234,238.843,165812
0.614,0.672034,241.616,164717
0.618,0.668844,244.39,163627
0.622,0.665667,247.164,162544
0.626,0.6625,249.938,161466
0.63,0.659346,252.713,160395
0.634,0.656203,255.488,159329
0.638,0.653071,258.263,158269
0.642,0.649951,261.039,157216
0.646,0.646843,263.815,156168
0.65,0.643746,266.591,155127
0.654,0.640661,269.366,154091
0.658,0.637588,272.143,153061
0.662,0.634527,274.919,152037
0.666,0.631477,277.694,151019
0.67,0.628439,280.47,150007
0.674,0.625413,283.246,149001
0.678,0.622398,286.022,148000
0.682,0.619395,288.797,147005
0.686,0.616404,291.572,146017
0.69,0.613425,294.347,145034
0.694,0.610458,297.122,144057
0.698,0.607502,299.896,143085
0.702,0.604558,302.67,142120
0.706,0.601626,305.443,141160
0.71,0.598706,308.215,140206
0.714,0.595798,310.987,139258
0.718,0.592902,313.759,138315
0.722,0.590017,316.53,137378
0.726,0.587145,319.3,136447
0.73,0.584284,322.069,135521
0.734,0.581436,324.837,134602
0.738,0.578599,327.605,133687
0.742,0.575774,330.371,132779
0.746,0.572962,333.137,131876
0.75,0.570161,335.901,130979
0.754,0.567372,338.664,130087
0.758,0.564596,341.426,129201
0.762,0.561831,344.187,128321
0.766,0.559079,346.946,127446
0.77,0.556338,349.704,126577
0.774,0.55361,352.461,125713
0.778,0.550894,355.216,124855
0.782,0.54819,357.969,124002
0.786,0.545499,360.72,123155
0.79,0.54282,363.47,122313
0.794,0.540153,366.218,121477
0.798,0.537498,368.963,120647
0.802,0.534856,371.707,119822
0.806,0.532226,374.448,119002
0.81,0.529609,377.187,118188
0.814,0.527004,379.924,117380
0.818,0.524412,382.658,116577
0.822,0.521832,385.39,115779
0.826,0.519265,388.118,114987
0.83,0.516711,390.844,114201
0.834,0.51417,393.567,113420
0.838,0.511641,396.287,112644
0.842,0.509125,399.003,111874
0.846,0.506623,401.716,111110
0.85,0.504133,404.425,110351
0.854,0.501657,407.131,109597
0.858,0.499194,409.832,108849
0.862,0.496744,412.53,108106
0.866,0.494307,415.223,107369
0.87,0.491885,417.911,106638
0.874,0.489475,420.595,105912
0.878,0.48708,423.274,105192
0.882,0.484698,425.948,104477
