x,rho,vitesse,pression
0.002,0.931966,44.3079,260059
0.006,0.929737,45.8033,259189
0.01,0.927343,47.4123,258255
0.014,0.924925,49.0412,257314
0.018,0.922492,50.6832,256367
0.022,0.920046,52.3373,255417
0.026,0.917588,54.0028,254463
0.03,0.91512,55.6793,253506
0.034,0.912641,57.3661,252546
0.038,0.910153,59.0628,251584
0.042,0.907657,60.7689,250619
0.046,0.905153,62.4839,249653
0.05,0.902642,64.2074,248685
0.054,0.900125,65.9391,247715
0.058,0.897603,67.6784,246745
0.062,0.895075,69.425,245774
0.066,0.892543,71.1787,244802
0.07,0.890007,72.939,243830
0.074,0.887468,74.7057,242858
0.078,0.884925,76.4785,241886
0.082,0.882381,78.2571,240913
0.086,0.879834,80.0412,239942
0.09,0.877285,81.8306,238970
0.094,0.874735,83.625,238000
0.098,0.872185,85.4242,237030
0.102,0.869633,87.2281,236061
0.106,0.867082,89.0363,235093
0.11,0.86453,90.8488,234126
0.114,0.861979,92.6653,233161
0.118,0.859428,94.4856,232196
0.122,0.856878,96.3097,231234
0.126,0.854329,98.1373,230273
0.13,0.851782,99.9683,229313
0.134,0.849236,101.803,228355
0.138,0.846692,103.64,227400
0.142,0.844149,105.48,226446
0.146,0.841609,107.323,225493
0.15,0.839071,109.169,224543
0.154,0.836536,111.018,223595
0.158,0.834003,112.869,222649
0.162,0.831473,114.723,221706
0.166,0.828946,116.579,220764
0.17,0.826422,118.437,219825
0.174,0.823901,120.297,218888
0.178,0.821383,122.16,217954
0.182,0.818869,124.024,217022
0.186,0.816359,125.891,216092
0.19,0.813852,127.759,215165
0.194,0.811348,129.629,214241
0.198,0.808849,131.501,213319
0.202,0.806353,133.375,212399
0.206,0.803862,135.25,211483
0.21,0.801375,137.126,210568
0.214,0.798891,139.004,209657
0.218,0.796412,140.884,208748
0.222,0.793937,142.765,207842
0.226,0.791467,144.647,206939
0.23,0.789001,146.531,206038
0.234,0.78654,148.416,205140
0.238,0.784083,150.302,204245
0.242,0.781631,152.189,203353
0.246,0.779183,154.077,202463
0.25,0.77674,155.967,201577
0.254,0.774302,157.857,200693
0.258,0.771868,159.748,199812
0.262,0.76944,161.641,198934
0.266,0.767016,163.534,198059
0.27,0.764597,165.429,197187
0.274,0.762184,167.324,196317
0.278,0.759775,169.22,195451
0.282,0.757371,171.117,194587
0.286,0.754972,173.014,193727
0.29,0.752579,174.913,192869
0.294,0.75019,176.812,192014
0.298,0.747807,178.712,191162
0.302,0.745429,180.612,190313
0.306,0.743056,182.513,189467
0.31,0.740688,184.415,188624
0.314,0.738325,186.318,187784
0.318,0.735968,188.221,186947
0.322,0.733616,190.125,186112
0.326,0.731269,192.029,185281
0.33,0.728928,193.934,184453
0.334,0.726591,195.839,183627
0.338,0.724261,197.745,182805
0.342,0.721935,199.651,181985
0.346,0.719615,201.558,181169
0.35,0.717301,203.465,180355
0.354,0.714991,205.373,179544
0.358,0.712687,207.281,178737
0.362,0.710389,209.189,177932
0.366,0.708096,211.098,177130
0.37,0.705809,213.008,176331
0.374,0.703526,214.917,175535
0.378,0.70125,216.827,174742
0.382,0.698979,218.738,173952
0.386,0.696713,220.648,173165
0.39,0.694453,222.559,172381
0.394,0.692198,224.47,171600
0.398,0.689949,226.382,170821
0.402,0.687705,228.294,170046
0.406,0.685467,230.206,169273
0.41,0.683234,232.118,168504
0.414,0.681007,234.031,167737
0.418,0.678786,235.943,166973
0.422,0.67657,237.856,166212
0.426,0.674359,239.769,165454
0.43,0.672154,241.683,164699
0.434,0.669955,243.596,163947
0.438,0.667761,245.51,163198
0.442,0.665572,247.424,162451
0.446,0.663389,249.338,161708
0.45,0.661212,251.252,160967
0.454,0.65904,253.166,160229
0.458,0.656874,255.08,159494
0.462,0.654714,256.995,158762
0.466,0.652559,258.909,158033
0.47,0.650409,260.824,157307
0.474,0.648265,262.738,156583
0.478,0.646127,264.653,155862
0.482,0.643994,266.568,155144
0.486,0.641867,268.483,154429
0.49,0.639745,270.397,153717
0.494,0.637629,272.312,153008
0.498,0.635519,274.227,152301
0.502,0.633414,276.142,151597
0.506,0.631314,278.057,150896
0.51,0.629221,279.972,150198
0.514,0.627132,281.886,149502
0.518,0.62505,283.801,148810
0.522,0.622973,285.716,148120
0.526,0.620901,287.63,147433
0.53,0.618835,289.545,146748
0.534,0.616775,291.459,146067
0.538,0.61472,293.373,145388
0.542,0.612671,295.288,144712
0.546,0.610627,297.202,144038
0.55,0.608589,299.116,143368
0.554,0.606556,301.029,142700
0.558,0.604529,302.943,142035
0.562,0.602508,304.856,141372
0.566,0.600492,306.77,140712
0.57,0.598482,308.683,140055
0.574,0.596477,310.596,139401
0.578,0.594478,312.508,138749
0.582,0.592485,314.421,138100
0.586,0.590497,316.333,137454
0.59,0.588514,318.245,136811
0.594,0.586537,320.156,136170
0.598,0.584566,322.068,135531
0.602,0.582601,323.979,134896
0.606,0.580641,325.89,134263
0.61,0.578686,327.8,133633
0.614,0.576737,329.71,133005
0.618,0.574794,331.62,132380
0.622,0.572856,333.529,131758
0.626,0.570924,335.439,131138
0.63,0.568997,337.347,130521
0.634,0.567076,339.255,129907
0.638,0.565161,341.163,129295
0.642,0.563251,343.07,128686
0.646,0.561347,344.977,128079
0.65,0.559448,346.884,127475
0.654,0.557555,348.79,126874
0.658,0.555668,350.695,126275
0.662,0.553786,352.6,125679
0.666,0.55191,354.504,125085
0.67,0.55004,356.408,124494
0.674,0.548175,358.311,123906
0.678,0.546315,360.213,123320
0.682,0.544462,362.115,122737
0.686,0.542614,364.016,122156
0.69,0.540772,365.917,121578
0.694,0.538935,367.816,121002
0.698,0.537104,369.715,120429
0.702,0.535279,371.614,119859
0.706,0.533459,373.511,119291
0.71,0.531645,375.408,118726
0.714,0.529837,377.304,118163
0.718,0.528035,379.199,117603
0.722,0.526238,381.093,117045
0.726,0.524447,382.986,116490
0.73,0.522662,384.878,115937
0.734,0.520882,386.769,115387
0.738,0.519109,388.659,114840
0.742,0.517341,390.549,114295
0.746,0.515579,392.437,113752
0.75,0.513822,394.323,113212
0.754,0.512072,396.209,112675
0.758,0.510328,398.094,112140
0.762,0.508589,399.977,111608
0.766,0.506856,401.859,111078
0.77,0.505129,403.74,110551
0.774,0.503408,405.619,110026
0.778,0.501693,407.497,109504
0.782,0.499984,409.373,108984
0.786,0.498281,411.248,108467
0.79,0.496584,413.122,107952
0.794,0.494893,414.994,107440
0.798,0.493208,416.864,106931
0.802,0.49153,418.732,106424
0.806,0.489857,420.599,105919
0.81,0.48819,422.463,105417
0.814,0.48653,424.326,104918
0.818,0.484876,426.187,104421
0.822,0.483228,428.046,103927
0.826,0.481587,429.903,103435
0.83,0.479952,431.758,102946
0.834,0.478323,433.61,102459
0.838,0.476701,435.46,101975
0.842,0.475085,437.308,101494
0.846,0.473475,439.153,101015
0.85,0.471873,440.996,100539
0.854,0.470276,442.836,100065
0.858,0.468687,444.673,99594.5
0.862,0.467104,446.508,99126.2
0.866,0.465528,448.34,98660.5
0.87,0.463959,450.168,98197.4
0.874,0.462396,451.994,97737
0.878,0.460841,453.816,97279.2
0.882,0.459292,455.635,96824.2
0.886,0.457751,457.45,96371.8
0.89,0.456217,459.262,95922.1
0.894,0.45469,461.07,95475.2
0.898,0.45317,462.874,95031
0.902,0.451658,464.674,94589.5
0.906,0.450153,466.47,94150.8
0.91,0.448656,468.262,93714.9
0.914,0.447166,470.05,93281.8
0.918,0.445685,471.832,92851.6
0.922,0.444211,473.61,92424.1
0.926,0.442744,475.384,91999.6
0.93,0.441286,477.152,91577.9
0.934,0.439837,478.914,91159.1
0.938,0.438395,480.672,90743.3
0.942,0.436962,482.423,90330.5
0.946,0.435537,484.169,89920.6
0.95,0.434121,485.909,89513.8
0.954,0.432714,487.642,89110
0.958,0.431315,489.369,88709.3
0.962,0.429926,491.089,88311.7
0.966,0.428546,492.802,87917.2
0.97,0.427175,494.508,87525.9
0.974,0.425814,496.206,87137.9
0.978,0.424462,497.896,86753.1
0.982,0.42312,499.579,86371.6
0.986,0.421789,501.253,85993.4
0.99,0.420467,502.918,85618.7
0.994,0.419156,504.574,85247.3
0.998,0.417856,506.221,84879.4
1.002,0.416567,507.858,84515.1
1.006,0.415288,509.485,84154.3
1.01,0.414021,511.101,83797.1
1.014,0.412765,512.707,83443.6
1.018,0.411521,514.302,83093.9
1.022,0.410289,515.885,82747.9
1.026,0.409069,517.456,82405.7
1.03,0.407862,519.015,82067.5
1.034,0.406667,520.561,81733.2
1.038,0.405485,522.093,81403
1.042,0.404317,523.612,81076.8
1.046,0.403162,525.117,80754.9
1.05,0.402021,526.607,80437.1
1.054,0.400894,528.082,80123.6
1.058,0.399781,529.541,79814.6
1.062,0.398684,530.984,79509.9
1.066,0.397601,532.41,79209.8
1.07,0.396534,533.819,78914.2
1.074,0.395482,535.21,78623.4
1.078,0.394446,536.583,78337.2
1.082,0.393427,537.936,78055.9
1.086,0.392424,539.271,77779.5
1.09,0.391439,540.585,77508.1
1.094,0.39047,541.879,77241.7
1.098,0.389519,543.152,76980.4
1.102,0.388587,544.403,76724.4
1.106,0.387672,545.631,76473.6
1.11,0.386776,546.837,76228.2
1.114,0.385899,548.019,75988.2
1.118,0.385041,549.178,75753.6
1.122,0.384203,550.312,75524.7
1.126,0.383385,551.42,75301.4
1.13,0.382586,552.504,75083.8
1.134,0.381808,553.561,74871.9
