x,rho,vitesse,pression
0.002,0.99776,1.42095,286100
0.006,0.997365,1.67172,285942
0.01,0.996916,1.95685,285762
0.014,0.99641,2.2787,285559
0.018,0.995842,2.63991,285331
0.022,0.995208,3.04299,285077
0.026,0.994505,3.49032,284795
0.03,0.993729,3.98407,284484
0.034,0.992878,4.5262,284143
0.038,0.991949,5.11842,283771
0.042,0.99094,5.76218,283367
0.046,0.98985,6.45862,282931
0.05,0.988676,7.20862,282461
0.054,0.987419,8.01275,281959
0.058,0.986078,8.87127,281423
0.062,0.984654,9.7842,280855
0.066,0.983147,10.7513,280253
0.07,0.981559,11.7719,279620
0.074,0.97989,12.8455,278955
0.078,0.978143,13.9709,278260
0.082,0.97632,15.1471,277534
0.086,0.974423,16.3729,276780
0.09,0.972455,17.6468,275998
0.094,0.970418,18.9672,275190
0.098,0.968315,20.3327,274356
0.102,0.966148,21.7415,273497
0.106,0.963922,23.192,272616
0.11,0.961639,24.6825,271713
0.114,0.959302,26.2112,270790
0.118,0.956913,27.7765,269847
0.122,0.954476,29.3767,268886
0.126,0.951993,31.0101,267909
0.13,0.949468,32.6751,266915
0.134,0.946902,34.3702,265907
0.138,0.944299,36.0939,264885
0.142,0.94166,37.8446,263850
0.146,0.938989,39.6211,262804
0.15,0.936288,41.4219,261747
0.154,0.933558,43.2458,260680
0.158,0.930802,45.0915,259605
0.162,0.928021,46.9579,258521
0.166,0.925218,48.8439,257429
0.17,0.922394,50.7484,256331
0.174,0.919551,52.6705,255227
0.178,0.916691,54.6091,254118
0.182,0.913815,56.5634,253004
0.186,0.910924,58.5326,251885
0.19,0.90802,60.5159,250763
0.194,0.905103,62.5125,249637
0.198,0.902176,64.5217,248509
0.202,0.899239,66.5428,247379
0.206,0.896293,68.5753,246246
0.21,0.89334,70.6184,245113
0.214,0.890379,72.6718,243978
0.218,0.887413,74.7348,242842
0.222,0.884441,76.8069,241706
0.226,0.881464,78.8877,240569
0.23,0.878484,80.9768,239433
0.234,0.875501,83.0736,238297
0.238,0.872515,85.1779,237162
0.242,0.869528,87.2893,236027
0.246,0.866539,89.4074,234894
0.25,0.863549,91.5319,233762
0.254,0.860559,93.6625,232631
0.258,0.857569,95.7988,231502
0.262,0.85458,97.9407,230375
0.266,0.851592,100.088,229249
0.27,0.848605,102.24,228126
0.274,0.84562,104.397,227005
0.278,0.842637,106.558,225887
0.282,0.839656,108.724,224771
0.286,0.836678,110.894,223657
0.29,0.833703,113.068,222546
0.294,0.830731,115.246,221438
0.298,0.827763,117.427,220333
0.302,0.824798,119.612,219231
0.306,0.821838,121.8,218132
0.31,0.818881,123.991,217037
0.314,0.815929,126.185,215944
0.318,0.812982,128.383,214855
0.322,0.810039,130.583,213769
0.326,0.807102,132.785,212686
0.33,0.804169,134.99,211607
0.334,0.801242,137.198,210531
0.338,0.79832,139.408,209459
0.342,0.795403,141.62,208391
0.346,0.792493,143.835,207326
0.35,0.789588,146.051,206265
0.354,0.786689,148.27,205207
0.358,0.783795,150.49,204154
0.362,0.780908,152.712,203104
0.366,0.778027,154.936,202057
0.37,0.775153,157.162,201015
0.374,0.772285,159.389,199977
0.378,0.769423,161.618,198942
0.382,0.766568,163.848,197912
0.386,0.763719,166.08,196885
0.39,0.760877,168.313,195862
0.394,0.758042,170.547,194843
0.398,0.755213,172.783,193828
0.402,0.752392,175.02,192818
0.406,0.749577,177.258,191811
0.41,0.746769,179.497,190808
0.414,0.743969,181.738,189809
0.418,0.741175,183.979,188814
0.422,0.738388,186.221,187823
0.426,0.735609,188.465,186837
0.43,0.732837,190.709,185854
0.434,0.730072,192.954,184875
0.438,0.727314,195.2,183901
0.442,0.724564,197.447,182930
0.446,0.72182,199.695,181963
0.45,0.719085,201.943,181001
0.454,0.716356,204.192,180043
0.458,0.713635,206.442,179088
0.462,0.710922,208.692,178138
0.466,0.708216,210.944,177192
0.47,0.705517,213.195,176250
0.474,0.702826,215.447,175312
0.478,0.700142,217.7,174378
0.482,0.697466,219.954,173448
0.486,0.694798,222.207,172522
0.49,0.692137,224.462,171600
0.494,0.689483,226.717,170682
0.498,0.686837,228.972,169768
0.502,0.684199,231.227,168858
0.506,0.681569,233.483,167953
0.51,0.678946,235.74,167051
0.514,0.67633,237.996,166153
0.518,0.673723,240.253,165260
0.522,0.671123,242.51,164370
0.526,0.668531,244.768,163484
0.53,0.665946,247.026,162603
0.534,0.663369,249.284,161725
0.538,0.6608,251.542,160852
0.542,0.658238,253.8,159982
0.546,0.655685,256.059,159116
0.55,0.653139,258.317,158254
0.554,0.6506,260.576,157397
0.558,0.64807,262.835,156543
0.562,0.645547,265.094,155693
0.566,0.643031,267.353,154847
0.57,0.640524,269.612,154005
0.574,0.638024,271.872,153167
0.578,0.635533,274.131,152333
0.582,0.633048,276.39,151502
0.586,0.630572,278.649,150676
0.59,0.628103,280.908,149853
0.594,0.625642,283.167,149035
0.598,0.623189,285.426,148220
0.602,0.620744,287.685,147409
0.606,0.618306,289.944,146602
0.61,0.615877,292.202,145799
0.614,0.613455,294.461,145000
0.618,0.61104,296.719,144204
0.622,0.608634,298.977,143412
0.626,0.606235,301.234,142624
0.63,0.603844,303.492,141840
0.634,0.601461,305.749,141060
0.638,0.599086,308.006,140284
0.642,0.596719,310.263,139511
0.646,0.594359,312.519,138742
0.65,0.592007,314.775,137977
0.654,0.589663,317.03,137215
0.658,0.587327,319.285,136458
0.662,0.584998,321.54,135704
0.666,0.582678,323.794,134953
0.67,0.580365,326.047,134207
0.674,0.57806,328.301,133464
0.678,0.575763,330.553,132725
0.682,0.573474,332.805,131990
0.686,0.571192,335.057,131258
0.69,0.568919,337.307,130530
0.694,0.566653,339.557,129806
0.698,0.564395,341.807,129085
0.702,0.562145,344.056,128368
0.706,0.559903,346.303,127655
0.71,0.557669,348.551,126945
0.714,0.555443,350.797,126239
0.718,0.553224,353.042,125537
0.722,0.551014,355.287,124838
0.726,0.548811,357.531,124143
0.73,0.546617,359.773,123452
0.734,0.54443,362.015,122764
0.738,0.542252,364.255,122079
0.742,0.540081,366.495,121399
0.746,0.537919,368.733,120722
0.75,0.535764,370.97,120048
0.754,0.533618,373.206,119379
0.758,0.531479,375.441,118712
0.762,0.529349,377.674,118050
0.766,0.527227,379.906,117391
0.77,0.525112,382.137,116735
0.774,0.523006,384.366,116083
0.778,0.520909,386.593,115435
0.782,0.518819,388.819,114790
0.786,0.516738,391.043,114149
0.79,0.514664,393.265,113511
0.794,0.5126,395.486,112877
0.798,0.510543,397.705,112247
0.802,0.508495,399.922,111620
0.806,0.506455,402.136,110997
0.81,0.504424,404.349,110377
0.814,0.502401,406.56,109761
0.818,0.500386,408.768,109148
0.822,0.49838,410.974,108539
0.826,0.496383,413.178,107934
0.83,0.494394,415.379,107332
0.834,0.492414,417.577,106734
0.838,0.490443,419.773,106139
0.842,0.488481,421.966,105548
0.846,0.486527,424.156,104960
0.85,0.484582,426.343,104377
0.854,0.482647,428.526,103796
0.858,0.48072,430.707,103220
0.862,0.478802,432.884,102647
0.866,0.476894,435.058,102078
0.87,0.474995,437.227,101512
0.874,0.473105,439.394,100950
0.878,0.471224,441.556,100392
0.882,0.469353,443.714,99837.4
0.886,0.467492,445.868,99286.6
0.89,0.46564,448.017,98739.6
0.894,0.463798,450.162,98196.3
0.898,0.461966,452.302,97656.8
0.902,0.460144,454.437,97121
0.906,0.458332,456.566,96589.1
0.91,0.456531,458.691,96061.1
0.914,0.454739,460.81,95536.9
0.918,0.452958,462.923,95016.5
0.922,0.451188,465.03,94500.1
0.926,0.449429,467.13,93987.7
0.93,0.44768,469.225,93479.2
0.934,0.445942,471.312,92974.7
0.938,0.444216,473.392,92474.3
0.942,0.442501,475.465,91977.9
0.946,0.440798,477.53,91485.7
0.95,0.439106,479.588,90997.6
0.954,0.437426,481.637,90513.7
0.958,0.435759,483.677,90034
0.962,0.434104,485.708,89558.6
0.966,0.432461,487.73,89087.5
0.97,0.430831,489.743,88620.9
0.974,0.429214,491.745,88158.6
0.978,0.427611,493.737,87700.8
0.982,0.426021,495.718,87247.6
0.986,0.424444,497.687,86799
0.99,0.422882,499.645,86355
0.994,0.421334,501.59,85915.8
0.998,0.419801,503.522,85481.4
1.002,0.418282,505.442,85051.8
1.006,0.416779,507.347,84627.1
1.01,0.415292,509.238,84207.5
1.014,0.41382,511.114,83793
1.018,0.412365,512.975,83383.6
1.022,0.410926,514.819,82979.5
1.026,0.409504,516.647,82580.7
1.03,0.408099,518.457,82187.3
1.034,0.406713,520.249,81799.5
1.038,0.405344,522.022,81417.2
1.042,0.403994,523.776,81040.7
1.046,0.402663,525.51,80670
1.05,0.401351,527.223,80305.1
1.054,0.40006,528.915,79946.3
1.058,0.398788,530.584,79593.5
1.062,0.397537,532.229,79247
1.066,0.396308,533.851,78906.8
1.07,0.3951,535.448,78573
1.074,0.393914,537.02,78245.7
1.078,0.39275,538.565,77925.1
1.082,0.39161,540.084,77611.2
1.086,0.390493,541.574,77304.1
1.09,0.3894,543.035,77004
1.094,0.388331,544.467,76710.9
1.098,0.387287,545.869,76425
1.102,0.386268,547.239,76146.3
1.106,0.385275,548.578,75875
1.11,0.384308,549.884,75611
1.114,0.383367,551.157,75354.6
1.118,0.382453,552.395,75105.7
1.122,0.381566,553.599,74864.4
1.126,0.380706,554.768,74630.9
1.13,0.379874,555.902,74405.1
1.134,0.379069,556.998,74187
1.138,0.378293,558.059,73976.8
1.142,0.377544,559.082,73774.4
1.146,0.376824,560.068,73579.9
1.15,0.376131,561.016,73393.2
1.154,0.375467,561.927,73214.3
1.158,0.374831,562.8,73043.1
1.162,0.374223,563.635,72879.7
1.166,0.373642,564.433,72724
1.17,0.373089,565.193,72575.8
1.174,0.372563,565.916,72435.2
1.178,0.372065,566.602,72301.9
1.182,0.371592,567.252,72175.8
1.186,0.371145,567.866,72056.9
1.19,0.370724,568.445,71944.9
1.194,0.370327,568.99,71839.7
1.198,0.369955,569.501,71741.1
1.202,0.369606,569.98,71648.9
1.206,0.369279,570.427,71562.9
1.21,0.368975,570.843,71482.9
1.214,0.368691,571.23,71408.6
1.218,0.368428,571.588,71339.9
1.222,0.368184,571.919,71276.4
1.226,0.367958,572.224,71217.9
1.23,0.36775,572.504,71164.3
1.234,0.367559,572.761,71115.1
1.238,0.367383,572.996,71070.3
1.242,0.367221,573.21,71029.4
1.246,0.367074,573.404,70992.3
1.25,0.366939,573.58,70958.7
1.254,0.366817,573.739,70928.5
1.258,0.366705,573.882,70901.2
1.262,0.366604,574.01,70876.8
1.266,0.366512,574.124,70855
1.27,0.366429,574.227,70835.5
1.274,0.366353,574.317,70818.3
1.278,0.366285,574.398,70803
1.282,0.366223,574.468,70789.5
1.286,0.366168,574.531,70777.7
1.29,0.366117,574.585,70767.4
1.294,0.366071,574.633,70758.3
1.298,0.36603,574.674,70750.5
1.302,0.365992,574.71,70743.7
1.306,0.365958,574.74,70737.9
1.31,0.365926,574.767,70732.9
1.314,0.365897,574.789,70728.6
1.318,0.36587,574.809,70725
1.322,0.365845,574.825,70721.9
1.326,0.365821,574.838,70719.4
1.33,0.365799,574.85,70717.2
1.334,0.365778,574.859,70715.5
1.338,0.365758,574.867,70714
1.342,0.365738,574.873,70712.8
1.346,0.36572,574.879,70711.9
1.35,0.365701,574.883,70711.1
1.354,0.365683,574.886,70710.5
1.358,0.365666,574.888,70710.1
1.362,0.365648,574.89,70709.8
1.366,0.365631,574.892,70709.5
1.37,0.365613,574.893,70709.4
1.374,0.365595,574.893,70709.3
1.378,0.365578,574.894,70709.2
1.382,0.36556,574.894,70709.2
1.386,0.365542,574.894,70709.3
1.39,0.365523,574.894,70709.3
1.394,0.365505,574.894,70709.4
1.398,0.365486,574.893,70709.5
1.402,0.365466,574.893,70709.6
1.406,0.365447,574.893,70709.7
1.41,0.365427,574.892,70709.8
1.414,0.365406,574.892,70710
1.418,0.365385,574.891,70710.1
1.422,0.365364,574.891,70710.2
1.426,0.365342,574.89,70710.3
1.43,0.36532,574.89,70710.4
1.434,0.365297,574.889,70710.6
1.438,0.365273,574.889,70710.7
1.442,0.365249,574.889,70710.8
1.446,0.365225,574.888,70710.9
1.45,0.3652,574.888,70711
1.454,0.365174,574.888,70711.1
1.458,0.365147,574.887,70711.2
1.462,0.36512,574.887,70711.3
1.466,0.365093,574.887,70711.4
1.47,0.365064,574.886,70711.5
1.474,0.365035,574.886,70711.6
1.478,0.365005,574.886,70711.6
1.482,0.364974,574.886,70711.7
1.486,0.364942,574.886,70711.8
1.49,0.364909,574.885,70711.9
1.494,0.364876,574.885,70711.9
1.498,0.364841,574.885,70712
1.502,0.364805,574.885,70712.1
1.506,0.364768,574.885,70712.2
1.51,0.36473,574.885,70712.2
1.514,0.364691,574.884,70712.3
1.518,0.36465,574.884,70712.4
1.522,0.364609,574.884,70712.4
1.526,0.364565,574.884,70712.5
1.53,0.36452,574.884,70712.6
1.534,0.364474,574.884,70712.6
1.538,0.364426,574.884,70712.7
1.542,0.364376,574.884,70712.7
1.546,0.364324,574.884,70712.8
1.55,0.364271,574.884,70712.9
1.554,0.364215,574.884,70712.9
1.558,0.364157,574.883,70713
1.562,0.364097,574.883,70713
1.566,0.364035,574.883,70713.1
1.57,0.36397,574.883,70713.1
1.574,0.363902,574.883,70713.2
1.578,0.363832,574.883,70713.2
1.582,0.363759,574.883,70713.3
1.586,0.363684,574.883,70713.3
1.59,0.363605,574.883,70713.4
1.594,0.363524,574.883,70713.5
1.598,0.363439,574.883,70713.5
1.602,0.363352,574.883,70713.6
1.606,0.363261,574.883,70713.6
1.61,0.363168,574.883,70713.7
1.614,0.363071,574.883,70713.7
1.618,0.362972,574.883,70713.8
1.622,0.36287,574.883,70713.8
1.626,0.362766,574.883,70713.9
1.63,0.362659,574.883,70713.9
1.634,0.362551,574.883,70714
1.638,0.362441,574.883,70714
1.642,0.36233,574.883,70714.1
1.646,0.362219,574.883,70714.1
1.65,0.362108,574.883,70714.2
1.654,0.361998,574.883,70714.2
1.658,0.361889,574.884,70714.3
1.662,0.361784,574.884,70714.3
1.666,0.361682,574.884,70714.4
1.67,0.361584,574.884,70714.4
1.674,0.361493,574.884,70714.5
1.678,0.361409,574.884,70714.5
1.682,0.361335,574.884,70714.6
1.686,0.36127,574.884,70714.6
1.69,0.361218,574.884,70714.7
1.694,0.36118,574.884,70714.7
1.698,0.361157,574.884,70714.8
1.702,0.361152,574.884,70714.8
1.706,0.361167,574.884,70714.9
1.71,0.361204,574.884,70714.9
1.714,0.361264,574.884,70715
1.718,0.36135,574.885,70715
1.722,0.361464,574.885,70715.1
1.726,0.361607,574.885,70715.1
1.73,0.361783,574.885,70715.2
1.734,0.361992,574.885,70715.2
1.738,0.362236,574.885,70715.3
1.742,0.362518,574.885,70715.3
1.746,0.362839,574.885,70715.4
1.75,0.363199,574.885,70715.4
1.754,0.363601,574.885,70715.5
1.758,0.364044,574.886,70715.5
1.762,0.36453,574.886,70715.6
1.766,0.365059,574.886,70715.7
1.77,0.365632,574.886,70715.7
1.774,0.366247,574.886,70715.8
1.778,0.366905,574.886,70715.8
1.782,0.367604,574.886,70715.9
1.786,0.368344,574.887,70715.9
1.79,0.369123,574.887,70716
1.794,0.369939,574.887,70716
1.798,0.37079,574.887,70716.1
1.802,0.371675,574.887,70716.2
1.806,0.372589,574.887,70716.2
1.81,0.373531,574.887,70716.3
1.814,0.374497,574.888,70716.3
1.818,0.375484,574.888,70716.4
1.822,0.376488,574.888,70716.5
1.826,0.377506,574.888,70716.5
1.83,0.378534,574.888,70716.6
1.834,0.379568,574.889,70716.6
1.838,0.380604,574.889,70716.7
1.842,0.381639,574.889,70716.8
1.846,0.382668,574.889,70716.8
1.85,0.383689,574.889,70716.9
1.854,0.384696,574.89,70717
1.858,0.385688,574.89,70717
1.862,0.38666,574.89,70717.1
1.866,0.38761,574.89,70717.2
1.87,0.388535,574.89,70717.2
1.874,0.389432,574.891,70717.3
1.878,0.390299,574.891,70717.4
1.882,0.391134,574.891,70717.4
1.886,0.391936,574.892,70717.5
1.89,0.392703,574.892,70717.6
1.894,0.393434,574.892,70717.6
1.898,0.394128,574.892,70717.7
1.902,0.394785,574.893,70717.7
1.906,0.395405,574.893,70717.8
1.91,0.395987,574.894,70717.8
1.914,0.396533,574.895,70717.8
1.918,0.397041,574.896,70717.7
1.922,0.397514,574.897,70717.5
1.926,0.397953,574.899,70717.3
1.93,0.398357,574.902,70717
1.934,0.398728,574.905,70716.5
1.938,0.399068,574.909,70715.7
1.942,0.399377,574.915,70714.8
1.946,0.399657,574.922,70713.6
1.95,0.39991,574.931,70712
1.954,0.400137,574.941,70710
1.958,0.400339,574.954,70707.7
1.962,0.400518,574.969,70704.9
1.966,0.400675,574.985,70701.8
1.97,0.400813,575.003,70698.3
1.974,0.400934,575.023,70694.6
1.978,0.401038,575.043,70690.8
1.982,0.401129,575.063,70687.1
1.986,0.401208,575.081,70683.6
1.99,0.401277,575.097,70680.6
1.994,0.401337,575.109,70678.5
1.998,0.40138,575.115,70677.3
