x,rho,vitesse,pression
0.002,0.871307,86.0369,236696
0.006,0.869305,87.4542,235936
0.01,0.86703,89.0675,235072
0.014,0.864718,90.7102,234196
0.018,0.862402,92.3595,233319
0.022,0.860086,94.0122,232443
0.026,0.857771,95.6679,231568
0.03,0.855457,97.3264,230695
0.034,0.853144,98.9875,229823
0.038,0.850833,100.651,228953
0.042,0.848523,102.317,228084
0.046,0.846214,103.986,227217
0.05,0.843908,105.657,226351
0.054,0.841603,107.33,225487
0.058,0.839301,109.005,224625
0.062,0.837,110.682,223765
0.066,0.834702,112.361,222906
0.07,0.832407,114.042,222049
0.074,0.830114,115.725,221194
0.078,0.827823,117.41,220342
0.082,0.825536,119.096,219491
0.086,0.823251,120.784,218642
0.09,0.820969,122.473,217795
0.094,0.81869,124.164,216950
0.098,0.816414,125.857,216107
0.102,0.814141,127.551,215267
0.106,0.811872,129.246,214428
0.11,0.809605,130.942,213592
0.114,0.807342,132.64,212758
0.118,0.805083,134.339,211926
0.122,0.802827,136.04,211096
0.126,0.800574,137.741,210268
0.13,0.798325,139.444,209443
0.134,0.79608,141.147,208620
0.138,0.793838,142.852,207799
0.142,0.7916,144.558,206981
0.146,0.789366,146.265,206164
0.15,0.787135,147.972,205350
0.154,0.784908,149.681,204539
0.158,0.782685,151.39,203730
0.162,0.780466,153.101,202923
0.166,0.778251,154.812,202118
0.17,0.77604,156.524,201316
0.174,0.773833,158.236,200516
0.178,0.77163,159.95,199719
0.182,0.769431,161.664,198923
0.186,0.767236,163.379,198131
0.19,0.765046,165.095,197340
0.194,0.762859,166.811,196553
0.198,0.760676,168.528,195767
0.202,0.758498,170.246,194984
0.206,0.756324,171.964,194203
0.21,0.754154,173.683,193425
0.214,0.751988,175.402,192649
0.218,0.749827,177.122,191876
0.222,0.74767,178.842,191105
0.226,0.745517,180.563,190336
0.23,0.743368,182.285,189570
0.234,0.741224,184.007,188806
0.238,0.739084,185.729,188045
0.242,0.736949,187.452,187286
0.246,0.734818,189.175,186529
0.25,0.732691,190.899,185775
0.254,0.730568,192.623,185024
0.258,0.72845,194.348,184274
0.262,0.726337,196.073,183528
0.266,0.724228,197.798,182783
0.27,0.722123,199.524,182041
0.274,0.720022,201.25,181302
0.278,0.717927,202.976,180565
0.282,0.715835,204.703,179830
0.286,0.713748,206.43,179098
0.29,0.711666,208.157,178369
0.294,0.709588,209.885,177641
0.298,0.707514,211.613,176916
0.302,0.705445,213.341,176194
0.306,0.703381,215.07,175474
0.31,0.701321,216.798,174756
0.314,0.699265,218.527,174041
0.318,0.697214,220.257,173328
0.322,0.695168,221.986,172618
0.326,0.693126,223.716,171910
0.33,0.691088,225.446,171204
0.334,0.689055,227.176,170501
0.338,0.687027,228.906,169800
0.342,0.685003,230.637,169102
0.346,0.682984,232.367,168406
0.35,0.680969,234.098,167712
0.354,0.678959,235.829,167021
0.358,0.676953,237.56,166332
0.362,0.674952,239.292,165645
0.366,0.672955,241.023,164961
0.37,0.670963,242.755,164280
0.374,0.668976,244.486,163600
0.378,0.666993,246.218,162923
0.382,0.665014,247.95,162249
0.386,0.663041,249.682,161576
0.39,0.661071,251.414,160906
0.394,0.659107,253.147,160239
0.398,0.657147,254.879,159574
0.402,0.655191,256.611,158911
0.406,0.65324,258.344,158250
0.41,0.651293,260.076,157592
0.414,0.649352,261.809,156936
0.418,0.647414,263.542,156282
0.422,0.645481,265.274,155631
0.426,0.643553,267.007,154982
0.43,0.64163,268.74,154336
0.434,0.63971,270.472,153691
0.438,0.637796,272.205,153049
0.442,0.635886,273.938,152410
0.446,0.633981,275.671,151772
0.45,0.63208,277.403,151137
0.454,0.630183,279.136,150504
0.458,0.628292,280.869,149874
0.462,0.626404,282.602,149245
0.466,0.624522,284.334,148619
0.47,0.622644,286.067,147996
0.474,0.62077,287.799,147374
0.478,0.618901,289.532,146755
0.482,0.617037,291.264,146138
0.486,0.615177,292.996,145523
0.49,0.613322,294.729,144911
0.494,0.611471,296.461,144301
0.498,0.609625,298.193,143693
0.502,0.607783,299.925,143087
0.506,0.605946,301.657,142483
0.51,0.604113,303.389,141882
0.514,0.602286,305.12,141283
0.518,0.600462,306.852,140686
0.522,0.598643,308.583,140092
0.526,0.596829,310.314,139499
0.53,0.595019,312.045,138909
0.534,0.593214,313.776,138321
0.538,0.591413,315.507,137735
0.542,0.589617,317.237,137151
0.546,0.587825,318.967,136570
0.55,0.586038,320.697,135991
0.554,0.584256,322.427,135414
0.558,0.582478,324.157,134839
0.562,0.580704,325.886,134266
0.566,0.578935,327.616,133696
0.57,0.577171,329.344,133127
0.574,0.575411,331.073,132561
0.578,0.573656,332.801,131997
0.582,0.571905,334.53,131435
0.586,0.570159,336.257,130875
0.59,0.568418,337.985,130317
0.594,0.566681,339.712,129762
0.598,0.564948,341.439,129209
0.602,0.56322,343.165,128657
0.606,0.561497,344.892,128108
0.61,0.559778,346.617,127561
0.614,0.558064,348.343,127016
0.618,0.556354,350.068,126474
0.622,0.554649,351.792,125933
0.626,0.552949,353.517,125395
0.63,0.551253,355.241,124858
0.634,0.549561,356.964,124324
0.638,0.547874,358.687,123792
0.642,0.546192,360.409,123262
0.646,0.544515,362.131,122734
0.65,0.542841,363.853,122208
0.654,0.541173,365.574,121684
0.658,0.539509,367.294,121162
0.662,0.53785,369.014,120643
0.666,0.536195,370.733,120125
0.67,0.534545,372.452,119610
0.674,0.5329,374.17,119096
0.678,0.531259,375.887,118585
0.682,0.529623,377.604,118076
0.686,0.527991,379.32,117569
0.69,0.526364,381.036,117064
0.694,0.524742,382.751,116561
0.698,0.523125,384.465,116060
0.702,0.521512,386.178,115561
0.706,0.519904,387.891,115064
0.71,0.5183,389.602,114569
0.714,0.516701,391.313,114077
0.718,0.515107,393.023,113586
0.722,0.513518,394.733,113097
0.726,0.511933,396.441,112611
0.73,0.510353,398.149,112126
0.734,0.508778,399.855,111644
0.738,0.507207,401.561,111164
0.742,0.505642,403.265,110685
0.746,0.504081,404.969,110209
0.75,0.502525,406.671,109735
0.754,0.500974,408.373,109263
0.758,0.499427,410.073,108793
0.762,0.497886,411.772,108324
0.766,0.496349,413.47,107859
0.77,0.494817,415.166,107395
0.774,0.49329,416.862,106933
0.778,0.491768,418.556,106473
0.782,0.490251,420.249,106015
0.786,0.488739,421.94,105560
0.79,0.487232,423.63,105106
0.794,0.48573,425.318,104654
0.798,0.484233,427.005,104205
0.802,0.482741,428.69,103758
0.806,0.481254,430.374,103312
0.81,0.479773,432.056,102869
0.814,0.478296,433.736,102428
0.818,0.476825,435.415,101989
0.822,0.475358,437.092,101552
0.826,0.473897,438.767,101117
0.83,0.472442,440.439,100684
0.834,0.470991,442.11,100254
0.838,0.469546,443.779,99825
0.842,0.468106,445.446,99398.6
0.846,0.466672,447.11,98974.3
0.85,0.465243,448.772,98552.1
0.854,0.46382,450.432,98132.1
0.858,0.462402,452.09,97714.2
0.862,0.46099,453.745,97298.5
0.866,0.459583,455.397,96884.9
0.87,0.458182,457.047,96473.5
0.874,0.456787,458.693,96064.3
0.878,0.455398,460.337,95657.3
0.882,0.454014,461.979,95252.5
0.886,0.452636,463.617,94850
0.89,0.451265,465.252,94449.6
0.894,0.449899,466.883,94051.5
0.898,0.448539,468.512,93655.6
0.902,0.447186,470.137,93262
0.906,0.445839,471.758,92870.7
0.91,0.444498,473.375,92481.7
0.914,0.443163,474.989,92095
0.918,0.441835,476.599,91710.7
0.922,0.440513,478.205,91328.6
0.926,0.439198,479.807,90949
0.93,0.43789,481.404,90571.7
0.934,0.436588,482.996,90196.8
0.938,0.435293,484.585,89824.4
