x,rho,vitesse,pression
0.002,0.919308,52.8325,255132
0.006,0.91709,54.3373,254271
0.01,0.914682,55.9735,253337
0.014,0.91225,57.6293,252395
0.018,0.909809,59.2951,251451
0.022,0.90736,60.9699,250505
0.026,0.904903,62.6532,249556
0.03,0.90244,64.3445,248607
0.034,0.899972,66.0435,247656
0.038,0.897498,67.7497,246704
0.042,0.895019,69.463,245752
0.046,0.892536,71.1829,244799
0.05,0.890049,72.9091,243846
0.054,0.887559,74.6414,242892
0.058,0.885067,76.3794,241939
0.062,0.882572,78.123,240986
0.066,0.880075,79.8718,240033
0.07,0.877576,81.6257,239081
0.074,0.875077,83.3844,238129
0.078,0.872576,85.1476,237178
0.082,0.870075,86.9153,236228
0.086,0.867574,88.6872,235279
0.09,0.865073,90.4631,234331
0.094,0.862572,92.2429,233384
0.098,0.860072,94.0263,232439
0.102,0.857572,95.8133,231495
0.106,0.855074,97.6037,230553
0.11,0.852577,99.3974,229612
0.114,0.850081,101.194,228672
0.118,0.847587,102.994,227735
0.122,0.845095,104.797,226799
0.126,0.842605,106.602,225866
0.13,0.840117,108.41,224934
0.134,0.837631,110.221,224004
0.138,0.835148,112.034,223076
0.142,0.832668,113.849,222150
0.146,0.83019,115.667,221227
0.15,0.827715,117.487,220305
0.154,0.825244,119.308,219386
0.158,0.822775,121.132,218469
0.162,0.82031,122.958,217555
0.166,0.817848,124.786,216642
0.17,0.815389,126.615,215733
0.174,0.812934,128.447,214825
0.178,0.810483,130.28,213920
0.182,0.808036,132.114,213018
0.186,0.805592,133.95,212118
0.19,0.803152,135.788,211220
0.194,0.800716,137.627,210325
0.198,0.798284,139.467,209433
0.202,0.795857,141.309,208543
0.206,0.793433,143.152,207656
0.21,0.791014,144.997,206772
0.214,0.788599,146.842,205890
0.218,0.786188,148.689,205011
0.222,0.783782,150.537,204134
0.226,0.78138,152.386,203260
0.23,0.778983,154.236,202389
0.234,0.77659,156.087,201521
0.238,0.774202,157.939,200655
0.242,0.771818,159.792,199792
0.246,0.769439,161.645,198932
0.25,0.767065,163.5,198075
0.254,0.764696,165.356,197220
0.258,0.762331,167.212,196369
0.262,0.759971,169.07,195520
0.266,0.757616,170.928,194673
0.27,0.755266,172.786,193830
0.274,0.752921,174.646,192989
0.278,0.75058,176.506,192152
0.282,0.748245,178.367,191317
0.286,0.745915,180.229,190485
0.29,0.743589,182.091,189655
0.294,0.741269,183.954,188829
0.298,0.738953,185.817,188005
0.302,0.736643,187.681,187184
0.306,0.734337,189.545,186366
0.31,0.732037,191.41,185551
0.314,0.729742,193.276,184739
0.318,0.727452,195.142,183929
0.322,0.725167,197.009,183122
0.326,0.722888,198.876,182319
0.33,0.720613,200.743,181518
0.334,0.718344,202.611,180719
0.338,0.716079,204.48,179924
0.342,0.71382,206.348,179132
0.346,0.711567,208.217,178342
0.35,0.709318,210.087,177555
0.354,0.707075,211.957,176771
0.358,0.704836,213.827,175990
0.362,0.702604,215.698,175211
0.366,0.700376,217.568,174436
0.37,0.698154,219.44,173663
0.374,0.695936,221.311,172893
0.378,0.693725,223.183,172126
0.382,0.691518,225.055,171362
0.386,0.689317,226.927,170600
0.39,0.687121,228.8,169842
0.394,0.68493,230.673,169086
0.398,0.682745,232.546,168333
0.402,0.680565,234.419,167582
0.406,0.67839,236.292,166835
0.41,0.67622,238.166,166090
0.414,0.674056,240.04,165348
0.418,0.671897,241.914,164609
0.422,0.669744,243.788,163872
0.426,0.667596,245.662,163139
0.43,0.665453,247.537,162408
0.434,0.663315,249.411,161680
0.438,0.661183,251.286,160954
0.442,0.659056,253.161,160232
0.446,0.656934,255.036,159512
0.45,0.654818,256.911,158795
0.454,0.652707,258.786,158080
0.458,0.650602,260.661,157369
0.462,0.648502,262.536,156660
0.466,0.646407,264.411,155954
0.47,0.644317,266.287,155250
0.474,0.642233,268.162,154549
0.478,0.640154,270.037,153851
0.482,0.638081,271.913,153156
0.486,0.636012,273.788,152463
0.49,0.63395,275.664,151773
0.494,0.631892,277.539,151086
0.498,0.62984,279.414,150401
0.502,0.627793,281.29,149719
0.506,0.625752,283.165,149040
0.51,0.623716,285.04,148363
0.514,0.621685,286.916,147689
0.518,0.619659,288.791,147018
0.522,0.617639,290.666,146349
0.526,0.615625,292.541,145683
0.53,0.613615,294.415,145020
0.534,0.611611,296.29,144359
0.538,0.609612,298.165,143701
0.542,0.607619,300.039,143045
0.546,0.605631,301.914,142392
0.55,0.603648,303.788,141742
0.554,0.601671,305.662,141094
0.558,0.599699,307.536,140449
0.562,0.597732,309.409,139807
0.566,0.595771,311.283,139167
0.57,0.593815,313.156,138530
0.574,0.591864,315.029,137895
0.578,0.589919,316.902,137263
0.582,0.587979,318.774,136633
0.586,0.586044,320.647,136006
0.59,0.584115,322.519,135382
0.594,0.582191,324.391,134760
0.598,0.580272,326.262,134140
0.602,0.578359,328.133,133524
0.606,0.576451,330.004,132909
0.61,0.574549,331.874,132297
