x,rho,vitesse,pression
0.002,0.995549,2.82587,285213
0.006,0.994893,3.24302,284951
0.01,0.994167,3.70557,284659
0.014,0.993368,4.21427,284339
0.018,0.992494,4.77087,283989
0.022,0.991544,5.37689,283609
0.026,0.990515,6.03358,283197
0.03,0.989406,6.74193,282753
0.034,0.988216,7.50262,282278
0.038,0.986945,8.31608,281770
0.042,0.985593,9.18244,281229
0.046,0.984159,10.1016,280657
0.05,0.982646,11.0732,280054
0.054,0.981054,12.0966,279419
0.058,0.979385,13.171,278754
0.062,0.97764,14.2955,278059
0.066,0.975822,15.4688,277336
0.07,0.973933,16.6898,276585
0.074,0.971976,17.957,275808
0.078,0.969953,19.2689,275005
0.082,0.967867,20.624,274178
0.086,0.96572,22.0207,273328
0.09,0.963516,23.4573,272455
0.094,0.961257,24.9323,271562
0.098,0.958947,26.4439,270650
0.102,0.956587,27.9906,269719
0.106,0.954181,29.5706,268770
0.11,0.951732,31.1826,267806
0.114,0.949241,32.8248,266826
0.118,0.946713,34.4959,265832
0.122,0.944148,36.1944,264825
0.126,0.941549,37.9188,263807
0.13,0.93892,39.6679,262777
0.134,0.936261,41.4404,261736
0.138,0.933575,43.2351,260687
0.142,0.930863,45.0507,259628
0.146,0.928129,46.8863,258562
0.15,0.925372,48.7406,257489
0.154,0.922596,50.6128,256410
0.158,0.919802,52.5019,255324
0.162,0.91699,54.407,254233
0.166,0.914163,56.3272,253138
0.17,0.911322,58.2618,252039
0.174,0.908469,60.2099,250936
0.178,0.905603,62.1709,249830
0.182,0.902727,64.144,248721
0.186,0.899842,66.1287,247610
0.19,0.896948,68.1244,246497
0.194,0.894046,70.1304,245383
0.198,0.891138,72.1463,244268
0.202,0.888224,74.1715,243152
0.206,0.885304,76.2056,242035
0.21,0.88238,78.2481,240918
0.214,0.879453,80.2986,239801
0.218,0.876522,82.3567,238685
0.222,0.873589,84.422,237569
0.226,0.870654,86.4942,236454
0.23,0.867718,88.573,235340
0.234,0.864781,90.6579,234227
0.238,0.861843,92.7488,233115
0.242,0.858906,94.8453,232005
0.246,0.855968,96.9472,230897
0.25,0.853032,99.0542,229791
0.254,0.850097,101.166,228686
0.258,0.847164,103.283,227584
0.262,0.844232,105.404,226484
0.266,0.841303,107.529,225386
0.27,0.838376,109.658,224291
0.274,0.835452,111.791,223198
0.278,0.832531,113.928,222108
0.282,0.829614,116.069,221021
0.286,0.8267,118.212,219937
0.29,0.82379,120.359,218856
0.294,0.820883,122.51,217777
0.298,0.817981,124.663,216702
0.302,0.815083,126.819,215630
0.306,0.81219,128.977,214561
0.31,0.809301,131.139,213495
0.314,0.806418,133.302,212433
0.318,0.803539,135.469,211374
0.322,0.800665,137.637,210318
0.326,0.797797,139.808,209266
0.33,0.794934,141.981,208217
0.334,0.792076,144.156,207172
0.338,0.789224,146.332,206131
0.342,0.786378,148.511,205093
0.346,0.783538,150.692,204058
0.35,0.780703,152.874,203028
0.354,0.777875,155.058,202001
0.358,0.775053,157.243,200977
0.362,0.772237,159.43,199958
0.366,0.769427,161.619,198942
0.37,0.766623,163.809,197930
0.374,0.763826,166,196922
0.378,0.761035,168.193,195917
0.382,0.758251,170.387,194917
0.386,0.755473,172.582,193920
0.39,0.752702,174.778,192927
0.394,0.749938,176.976,191938
0.398,0.74718,179.174,190953
0.402,0.74443,181.374,189971
0.406,0.741686,183.574,188994
0.41,0.738948,185.776,188020
0.414,0.736218,187.978,187051
0.418,0.733495,190.181,186085
0.422,0.730778,192.386,185123
0.426,0.728069,194.591,184165
0.43,0.725367,196.796,183211
0.434,0.722671,199.003,182261
0.438,0.719983,201.21,181315
0.442,0.717302,203.418,180372
0.446,0.714628,205.627,179434
0.45,0.711961,207.836,178500
0.454,0.709302,210.046,177569
0.458,0.70665,212.256,176642
0.462,0.704004,214.467,175720
0.466,0.701366,216.679,174801
0.47,0.698736,218.891,173886
0.474,0.696113,221.103,172975
0.478,0.693496,223.316,172068
0.482,0.690888,225.529,171165
0.486,0.688286,227.743,170266
0.49,0.685692,229.958,169370
0.494,0.683105,232.172,168479
0.498,0.680526,234.387,167591
0.502,0.677954,236.602,166708
0.506,0.675389,238.818,165828
0.51,0.672832,241.034,164952
0.514,0.670282,243.25,164080
0.518,0.66774,245.466,163212
0.522,0.665205,247.683,162347
0.526,0.662677,249.9,161487
0.53,0.660157,252.117,160630
0.534,0.657644,254.334,159777
0.538,0.655139,256.551,158928
0.542,0.652641,258.769,158083
0.546,0.650151,260.986,157242
0.55,0.647668,263.204,156404
0.554,0.645192,265.422,155571
0.558,0.642724,267.639,154741
0.562,0.640264,269.857,153914
0.566,0.63781,272.075,153092
0.57,0.635365,274.293,152273
0.574,0.632927,276.511,151458
0.578,0.630496,278.729,150647
0.582,0.628073,280.947,149840
0.586,0.625657,283.164,149036
0.59,0.623249,285.382,148236
0.594,0.620848,287.6,147440
0.598,0.618455,289.817,146648
0.602,0.616069,292.034,145859
0.606,0.613691,294.252,145074
0.61,0.61132,296.468,144292
0.614,0.608956,298.685,143515
0.618,0.606601,300.902,142741
0.622,0.604252,303.118,141970
0.626,0.601911,305.334,141204
0.63,0.599578,307.55,140441
0.634,0.597252,309.765,139681
0.638,0.594934,311.98,138925
0.642,0.592623,314.195,138173
0.646,0.59032,316.41,137425
0.65,0.588024,318.624,136680
0.654,0.585736,320.837,135939
0.658,0.583456,323.051,135201
0.662,0.581183,325.263,134467
0.666,0.578917,327.475,133736
0.67,0.576659,329.687,133009
0.674,0.574408,331.898,132286
0.678,0.572166,334.109,131566
0.682,0.56993,336.319,130850
0.686,0.567702,338.529,130137
0.69,0.565482,340.737,129428
0.694,0.563269,342.945,128722
0.698,0.561064,345.153,128020
0.702,0.558867,347.359,127321
0.706,0.556677,349.565,126626
0.71,0.554495,351.77,125935
0.714,0.55232,353.975,125247
0.718,0.550153,356.178,124562
0.722,0.547994,358.381,123881
0.726,0.545842,360.582,123203
0.73,0.543698,362.783,122529
0.734,0.541562,364.982,121859
0.738,0.539433,367.181,121191
0.742,0.537312,369.378,120528
0.746,0.535199,371.575,119867
0.75,0.533094,373.77,119211
0.754,0.530996,375.964,118557
0.758,0.528906,378.156,117907
0.762,0.526824,380.347,117261
0.766,0.52475,382.537,116618
0.77,0.522683,384.726,115979
0.774,0.520625,386.913,115342
0.778,0.518574,389.098,114710
0.782,0.516531,391.282,114081
0.786,0.514496,393.464,113455
0.79,0.512469,395.645,112832
0.794,0.510451,397.823,112214
0.798,0.50844,400,111598
0.802,0.506437,402.175,110986
0.806,0.504442,404.348,110378
0.81,0.502456,406.519,109772
0.814,0.500477,408.688,109171
0.818,0.498507,410.854,108572
0.822,0.496545,413.019,107978
0.826,0.494591,415.18,107386
0.83,0.492646,417.34,106798
0.834,0.490709,419.496,106214
0.838,0.488781,421.651,105633
0.842,0.486861,423.802,105055
0.846,0.484949,425.95,104481
0.85,0.483046,428.096,103911
0.854,0.481152,430.238,103344
0.858,0.479267,432.378,102780
0.862,0.47739,434.513,102220
0.866,0.475522,436.646,101664
0.87,0.473663,438.775,101111
0.874,0.471814,440.9,100561
0.878,0.469973,443.021,100015
0.882,0.468141,445.138,99473.2
0.886,0.466319,447.251,98934.5
0.89,0.464506,449.36,98399.4
0.894,0.462703,451.464,97867.9
0.898,0.460909,453.564,97340.1
0.902,0.459124,455.658,96815.9
0.906,0.45735,457.748,96295.5
0.91,0.455585,459.832,95778.7
0.914,0.453831,461.911,95265.6
0.918,0.452086,463.984,94756.3
0.922,0.450352,466.052,94250.8
0.926,0.448628,468.113,93749.1
0.93,0.446915,470.168,93251.2
0.934,0.445212,472.216,92757.2
0.938,0.443521,474.257,92267.1
0.942,0.44184,476.292,91780.9
0.946,0.44017,478.318,91298.7
0.95,0.438512,480.337,90820.5
0.954,0.436866,482.348,90346.3
0.958,0.435231,484.351,89876.2
0.962,0.433608,486.345,89410.3
0.966,0.431997,488.33,88948.5
0.97,0.430398,490.305,88491
0.974,0.428812,492.271,88037.7
0.978,0.427239,494.227,87588.8
0.982,0.425679,496.171,87144.3
0.986,0.424132,498.105,86704.1
0.99,0.422599,500.028,86268.5
0.994,0.42108,501.939,85837.5
0.998,0.419574,503.837,85411.1
1.002,0.418083,505.722,84989.3
1.006,0.416607,507.594,84572.3
1.01,0.415146,509.452,84160.2
1.014,0.4137,511.296,83753
1.018,0.41227,513.125,83350.7
1.022,0.410856,514.938,82953.5
1.026,0.409458,516.735,82561.5
1.03,0.408077,518.516,82174.7
1.034,0.406713,520.279,81793.2
1.038,0.405367,522.024,81417.1
1.042,0.404038,523.75,81046.5
1.046,0.402728,525.457,80681.5
1.05,0.401436,527.144,80322.2
1.054,0.400164,528.81,79968.6
1.058,0.398911,530.454,79621
1.062,0.397678,532.076,79279.3
1.066,0.396465,533.675,78943.7
1.07,0.395273,535.251,78614.3
1.074,0.394102,536.802,78291.2
1.078,0.392954,538.328,77974.4
1.082,0.391827,539.827,77664.2
1.086,0.390723,541.3,77360.6
1.09,0.389642,542.745,77063.6
1.094,0.388584,544.162,76773.4
1.098,0.38755,545.549,76490.2
1.102,0.386541,546.907,76213.9
1.106,0.385556,548.234,75944.6
1.11,0.384596,549.529,75682.6
1.114,0.383661,550.793,75427.7
1.118,0.382753,552.024,75180.2
1.122,0.38187,553.221,74940.1
1.126,0.381014,554.385,74707.4
1.13,0.380184,555.514,74482.2
1.134,0.379381,556.608,74264.5
1.138,0.378606,557.667,74054.4
1.142,0.377857,558.69,73851.8
1.146,0.377136,559.677,73656.9
1.15,0.376442,560.628,73469.6
1.154,0.375775,561.542,73289.9
1.158,0.375136,562.419,73117.7
1.162,0.374523,563.26,72953.1
1.166,0.373938,564.064,72796
1.17,0.37338,564.831,72646.2
1.174,0.372848,565.563,72503.8
1.178,0.372343,566.258,72368.6
1.182,0.371863,566.918,72240.5
1.186,0.371409,567.542,72119.5
1.19,0.37098,568.133,72005.2
1.194,0.370575,568.689,71897.7
1.198,0.370194,569.212,71796.7
1.202,0.369836,569.703,71702
1.206,0.369501,570.163,71613.5
1.21,0.369188,570.592,71531
1.214,0.368895,570.992,71454.2
1.218,0.368623,571.363,71382.9
1.222,0.36837,571.707,71316.9
1.226,0.368136,572.025,71255.9
1.23,0.367919,572.318,71199.8
1.234,0.367719,572.587,71148.3
1.238,0.367535,572.834,71101.1
1.242,0.367366,573.06,71058
1.246,0.367211,573.265,71018.7
1.25,0.367069,573.452,70983
1.254,0.36694,573.621,70950.7
1.258,0.366822,573.774,70921.6
1.262,0.366714,573.912,70895.4
1.266,0.366617,574.035,70871.9
1.27,0.366528,574.145,70850.8
1.274,0.366448,574.244,70832.1
1.278,0.366375,574.331,70815.4
1.282,0.36631,574.409,70800.6
1.286,0.36625,574.478,70787.6
1.29,0.366196,574.538,70776.2
1.294,0.366147,574.591,70766.1
1.298,0.366103,574.637,70757.4
1.302,0.366063,574.677,70749.8
1.306,0.366026,574.712,70743.2
1.31,0.365993,574.742,70737.5
1.314,0.365962,574.767,70732.6
1.318,0.365934,574.789,70728.4
1.322,0.365908,574.808,70724.9
1.326,0.365884,574.824,70721.9
1.33,0.365861,574.837,70719.4
1.334,0.365839,574.849,70717.3
1.338,0.365819,574.858,70715.5
1.342,0.3658,574.866,70714.1
1.346,0.365781,574.872,70712.9
1.35,0.365763,574.877,70712
1.354,0.365746,574.881,70711.2
1.358,0.365728,574.885,70710.6
1.362,0.365711,574.887,70710.2
1.366,0.365694,574.889,70709.8
1.37,0.365678,574.89,70709.6
1.374,0.365661,574.892,70709.4
1.378,0.365644,574.892,70709.3
1.382,0.365627,574.893,70709.3
1.386,0.36561,574.893,70709.2
1.39,0.365593,574.893,70709.3
1.394,0.365576,574.893,70709.3
1.398,0.365558,574.893,70709.4
1.402,0.36554,574.892,70709.5
1.406,0.365522,574.892,70709.6
1.41,0.365503,574.892,70709.7
1.414,0.365484,574.891,70709.8
1.418,0.365465,574.891,70709.9
1.422,0.365445,574.89,70710
1.426,0.365425,574.89,70710.1
1.43,0.365404,574.889,70710.3
1.434,0.365383,574.889,70710.4
1.438,0.365362,574.889,70710.5
1.442,0.36534,574.888,70710.6
1.446,0.365317,574.888,70710.7
1.45,0.365294,574.887,70710.8
1.454,0.365271,574.887,70710.9
1.458,0.365247,574.887,70711
1.462,0.365222,574.886,70711.1
1.466,0.365197,574.886,70711.2
1.47,0.365171,574.886,70711.3
1.474,0.365144,574.886,70711.4
1.478,0.365117,574.885,70711.5
1.482,0.365089,574.885,70711.5
1.486,0.36506,574.885,70711.6
1.49,0.36503,574.885,70711.7
1.494,0.365,574.885,70711.8
1.498,0.364969,574.884,70711.8
1.502,0.364937,574.884,70711.9
1.506,0.364904,574.884,70712
1.51,0.36487,574.884,70712.1
1.514,0.364835,574.884,70712.1
1.518,0.364799,574.884,70712.2
1.522,0.364762,574.883,70712.3
1.526,0.364724,574.883,70712.3
1.53,0.364684,574.883,70712.4
1.534,0.364643,574.883,70712.4
1.538,0.364601,574.883,70712.5
1.542,0.364557,574.883,70712.6
1.546,0.364512,574.883,70712.6
1.55,0.364465,574.883,70712.7
1.554,0.364417,574.883,70712.7
1.558,0.364366,574.883,70712.8
1.562,0.364314,574.883,70712.8
1.566,0.36426,574.883,70712.9
1.57,0.364204,574.883,70712.9
1.574,0.364146,574.882,70713
1.578,0.364085,574.882,70713.1
1.582,0.364022,574.882,70713.1
1.586,0.363957,574.882,70713.2
1.59,0.363889,574.882,70713.2
1.594,0.363818,574.882,70713.3
1.598,0.363745,574.882,70713.3
1.602,0.363669,574.882,70713.4
1.606,0.36359,574.882,70713.4
1.61,0.363508,574.882,70713.5
1.614,0.363423,574.882,70713.5
1.618,0.363335,574.882,70713.6
1.622,0.363245,574.882,70713.6
1.626,0.363151,574.882,70713.7
1.63,0.363055,574.882,70713.7
1.634,0.362956,574.882,70713.8
1.638,0.362855,574.882,70713.8
1.642,0.362751,574.882,70713.9
1.646,0.362646,574.882,70713.9
1.65,0.362539,574.882,70714
1.654,0.36243,574.882,70714
1.658,0.362321,574.882,70714.1
1.662,0.362212,574.882,70714.1
1.666,0.362103,574.883,70714.1
1.67,0.361996,574.883,70714.2
1.674,0.361891,574.883,70714.2
1.678,0.361789,574.883,70714.3
1.682,0.361691,574.883,70714.3
1.686,0.361598,574.883,70714.4
1.69,0.361512,574.883,70714.4
1.694,0.361433,574.883,70714.5
1.698,0.361364,574.883,70714.5
1.702,0.361306,574.883,70714.6
1.706,0.361261,574.883,70714.6
1.71,0.36123,574.883,70714.7
1.714,0.361215,574.883,70714.7
1.718,0.361217,574.883,70714.8
1.722,0.36124,574.883,70714.8
1.726,0.361285,574.883,70714.9
1.73,0.361353,574.884,70714.9
1.734,0.361448,574.884,70715
1.738,0.36157,574.884,70715
1.742,0.361722,574.884,70715.1
1.746,0.361906,574.884,70715.1
1.75,0.362123,574.884,70715.2
1.754,0.362376,574.884,70715.2
1.758,0.362665,574.884,70715.3
1.762,0.362992,574.884,70715.3
1.766,0.363359,574.884,70715.4
1.77,0.363766,574.885,70715.4
1.774,0.364215,574.885,70715.5
1.778,0.364705,574.885,70715.5
1.782,0.365237,574.885,70715.6
1.786,0.365812,574.885,70715.6
1.79,0.366428,574.885,70715.7
1.794,0.367086,574.885,70715.7
1.798,0.367785,574.885,70715.8
1.802,0.368522,574.886,70715.8
1.806,0.369298,574.886,70715.9
1.81,0.37011,574.886,70715.9
1.814,0.370956,574.886,70716
1.818,0.371834,574.886,70716.1
1.822,0.372742,574.886,70716.1
1.826,0.373675,574.886,70716.2
1.83,0.374632,574.887,70716.2
1.834,0.375609,574.887,70716.3
1.838,0.376603,574.887,70716.3
1.842,0.37761,574.887,70716.4
1.846,0.378626,574.887,70716.5
1.85,0.379648,574.887,70716.5
1.854,0.380672,574.888,70716.6
1.858,0.381695,574.888,70716.6
1.862,0.382712,574.888,70716.7
1.866,0.383721,574.888,70716.8
1.87,0.384717,574.888,70716.8
1.874,0.385697,574.889,70716.9
1.878,0.386658,574.889,70716.9
1.882,0.387598,574.889,70717
1.886,0.388513,574.889,70717.1
1.89,0.389401,574.89,70717.1
1.894,0.39026,574.89,70717.2
1.898,0.391088,574.89,70717.2
1.902,0.391883,574.891,70717.2
1.906,0.392644,574.891,70717.2
1.91,0.393369,574.892,70717.2
1.914,0.394059,574.893,70717.2
1.918,0.394712,574.894,70717
1.922,0.395329,574.896,70716.8
1.926,0.395909,574.898,70716.6
1.93,0.396451,574.901,70716.2
1.934,0.396958,574.904,70715.6
1.938,0.397429,574.909,70714.8
1.942,0.397865,574.914,70713.9
1.946,0.398268,574.921,70712.6
1.95,0.398637,574.93,70711.1
1.954,0.398974,574.939,70709.3
1.958,0.399281,574.951,70707.1
1.962,0.39956,574.964,70704.6
1.966,0.399811,574.979,70701.9
1.97,0.400036,574.995,70698.8
1.974,0.400238,575.012,70695.6
