x,rho,vitesse,pression
0.002,0.944604,35.8883,265005
0.006,0.942405,37.3477,264142
0.01,0.940065,38.9035,263225
0.014,0.937697,40.4816,262297
0.018,0.935306,42.0774,261362
0.022,0.932896,43.6897,260420
0.026,0.930466,45.3177,259472
0.03,0.92802,46.9606,258518
0.034,0.925558,48.6177,257559
0.038,0.92308,50.2883,256596
0.042,0.920589,51.9717,255628
0.046,0.918086,53.6673,254656
0.05,0.91557,55.3744,253681
0.054,0.913045,57.0925,252702
0.058,0.910509,58.8211,251721
0.062,0.907964,60.5596,250738
0.066,0.905411,62.3076,249753
0.07,0.902851,64.0646,248766
0.074,0.900284,65.8301,247777
0.078,0.897711,67.6038,246787
0.082,0.895133,69.3852,245797
0.086,0.89255,71.174,244806
0.09,0.889963,72.9698,243814
0.094,0.887372,74.7723,242822
0.098,0.884778,76.5812,241830
0.102,0.882181,78.3963,240838
0.106,0.879582,80.2171,239846
0.11,0.876982,82.0435,238855
0.114,0.874379,83.8751,237865
0.118,0.871776,85.7119,236875
0.122,0.869172,87.5534,235887
0.126,0.866568,89.3996,234899
0.13,0.863964,91.2502,233913
0.134,0.86136,93.105,232927
0.138,0.858757,94.9638,231944
0.142,0.856154,96.8266,230962
0.146,0.853553,98.693,229981
0.15,0.850953,100.563,229002
0.154,0.848355,102.436,228025
0.158,0.845758,104.313,227050
0.162,0.843164,106.193,226077
0.166,0.840572,108.075,225106
0.17,0.837982,109.961,224137
0.174,0.835395,111.849,223170
0.178,0.83281,113.74,222205
0.182,0.830228,115.634,221243
0.186,0.82765,117.53,220283
0.19,0.825075,119.428,219326
0.194,0.822503,121.329,218370
0.198,0.819934,123.231,217418
0.202,0.817369,125.136,216468
0.206,0.814808,127.043,215520
0.21,0.81225,128.952,214575
0.214,0.809697,130.863,213633
0.218,0.807147,132.775,212693
0.222,0.804602,134.689,211756
0.226,0.802061,136.605,210822
0.23,0.799524,138.522,209890
0.234,0.796991,140.441,208962
0.238,0.794463,142.362,208036
0.242,0.791939,144.283,207113
0.246,0.78942,146.207,206192
0.25,0.786906,148.131,205275
0.254,0.784396,150.057,204361
0.258,0.781891,151.984,203449
0.262,0.779391,153.912,202541
0.266,0.776896,155.842,201635
0.27,0.774405,157.772,200732
0.274,0.77192,159.704,199833
0.278,0.76944,161.637,198936
0.282,0.766965,163.57,198042
0.286,0.764494,165.505,197151
0.29,0.762029,167.44,196264
0.294,0.75957,169.377,195379
0.298,0.757115,171.314,194497
0.302,0.754666,173.252,193618
0.306,0.752222,175.191,192743
0.31,0.749783,177.131,191870
0.314,0.74735,179.072,191001
0.318,0.744922,181.013,190134
0.322,0.742499,182.955,189271
0.326,0.740082,184.897,188410
0.33,0.73767,186.841,187553
0.334,0.735264,188.785,186699
0.338,0.732863,190.729,185848
0.342,0.730468,192.674,185000
0.346,0.728078,194.62,184155
0.35,0.725694,196.566,183313
0.354,0.723316,198.513,182474
0.358,0.720943,200.46,181638
0.362,0.718575,202.408,180805
0.366,0.716213,204.356,179976
0.37,0.713857,206.305,179149
0.374,0.711507,208.254,178326
0.378,0.709162,210.204,177505
0.382,0.706823,212.154,176688
0.386,0.704489,214.104,175873
0.39,0.702161,216.055,175062
0.394,0.699839,218.006,174254
0.398,0.697523,219.958,173449
0.402,0.695212,221.909,172647
0.406,0.692907,223.862,171848
0.41,0.690608,225.814,171052
0.414,0.688315,227.767,170259
0.418,0.686027,229.72,169469
0.422,0.683745,231.673,168682
0.426,0.681468,233.626,167899
0.43,0.679198,235.58,167118
0.434,0.676933,237.534,166340
0.438,0.674674,239.488,165565
0.442,0.672421,241.443,164794
0.446,0.670174,243.397,164025
0.45,0.667932,245.352,163259
0.454,0.665696,247.307,162497
0.458,0.663466,249.262,161737
0.462,0.661242,251.217,160980
0.466,0.659023,253.172,160227
0.47,0.656811,255.128,159476
0.474,0.654604,257.083,158728
0.478,0.652403,259.039,157983
0.482,0.650208,260.994,157242
0.486,0.648018,262.95,156503
0.49,0.645834,264.906,155767
0.494,0.643657,266.862,155034
0.498,0.641485,268.818,154304
0.502,0.639318,270.774,153577
0.506,0.637158,272.73,152853
0.51,0.635003,274.685,152132
0.514,0.632855,276.641,151414
0.518,0.630712,278.597,150698
0.522,0.628574,280.553,149986
0.526,0.626443,282.509,149276
0.53,0.624317,284.465,148570
0.534,0.622198,286.42,147866
0.538,0.620084,288.376,147165
0.542,0.617976,290.332,146467
0.546,0.615873,292.287,145772
0.55,0.613777,294.242,145080
0.554,0.611686,296.198,144391
0.558,0.609601,298.153,143704
0.562,0.607522,300.108,143021
0.566,0.605449,302.062,142340
0.57,0.603382,304.017,141662
0.574,0.60132,305.971,140987
0.578,0.599264,307.926,140315
0.582,0.597214,309.88,139645
0.586,0.59517,311.833,138978
0.59,0.593132,313.787,138315
0.594,0.591099,315.74,137654
0.598,0.589073,317.693,136995
0.602,0.587052,319.646,136340
0.606,0.585037,321.598,135687
0.61,0.583027,323.55,135038
0.614,0.581024,325.502,134391
0.618,0.579026,327.454,133746
0.622,0.577035,329.405,133105
0.626,0.575049,331.356,132466
0.63,0.573069,333.306,131830
0.634,0.571094,335.256,131197
0.638,0.569126,337.205,130566
0.642,0.567163,339.154,129939
0.646,0.565207,341.103,129314
0.65,0.563256,343.051,128691
0.654,0.561311,344.999,128072
0.658,0.559372,346.946,127455
0.662,0.557438,348.893,126841
0.666,0.555511,350.839,126229
0.67,0.553589,352.784,125621
0.674,0.551674,354.729,125015
0.678,0.549764,356.673,124412
0.682,0.54786,358.617,123811
0.686,0.545962,360.56,123213
0.69,0.54407,362.502,122618
0.694,0.542184,364.444,122025
0.698,0.540303,366.384,121436
0.702,0.538429,368.325,120848
0.706,0.536561,370.264,120264
0.71,0.534698,372.202,119682
0.714,0.532841,374.14,119103
0.718,0.530991,376.077,118527
0.722,0.529146,378.013,117953
0.726,0.527308,379.947,117382
0.73,0.525475,381.881,116813
0.734,0.523648,383.814,116247
0.738,0.521828,385.746,115684
0.742,0.520013,387.677,115123
0.746,0.518205,389.607,114566
0.75,0.516402,391.536,114010
0.754,0.514606,393.463,113458
0.758,0.512816,395.389,112908
0.762,0.511031,397.314,112361
0.766,0.509253,399.238,111816
0.77,0.507481,401.16,111274
0.774,0.505716,403.081,110735
0.778,0.503956,405.001,110198
0.782,0.502203,406.919,109664
0.786,0.500456,408.835,109132
0.79,0.498715,410.75,108604
0.794,0.496981,412.664,108077
0.798,0.495253,414.575,107554
0.802,0.493531,416.485,107033
0.806,0.491816,418.393,106515
0.81,0.490107,420.299,105999
0.814,0.488404,422.204,105487
0.818,0.486708,424.106,104976
0.822,0.485019,426.006,104469
0.826,0.483336,427.904,103964
0.83,0.481659,429.8,103462
0.834,0.479989,431.693,102963
0.838,0.478326,433.585,102466
0.842,0.47667,435.473,101972
0.846,0.475021,437.36,101480
0.85,0.473378,439.243,100992
0.854,0.471742,441.124,100506
0.858,0.470113,443.002,100022
0.862,0.468491,444.878,99542
0.866,0.466876,446.75,99064.2
0.87,0.465268,448.619,98589.3
0.874,0.463668,450.485,98117.1
0.878,0.462074,452.347,97647.6
0.882,0.460488,454.207,97181
0.886,0.458909,456.062,96717.2
0.89,0.457338,457.914,96256.2
0.894,0.455774,459.762,95798
0.898,0.454218,461.606,95342.7
0.902,0.452669,463.446,94890.2
0.906,0.451128,465.282,94440.6
0.91,0.449595,467.113,93994
0.914,0.44807,468.94,93550.2
0.918,0.446553,470.762,93109.4
0.922,0.445044,472.579,92671.6
0.926,0.443544,474.391,92236.7
0.93,0.442051,476.198,91804.9
0.934,0.440568,477.999,91376.1
0.938,0.439093,479.795,90950.4
0.942,0.437626,481.585,90527.7
0.946,0.436169,483.368,90108.2
0.95,0.43472,485.146,89691.8
0.954,0.433281,486.917,89278.6
0.958,0.43185,488.681,88868.5
0.962,0.43043,490.438,88461.8
0.966,0.429019,492.188,88058.3
0.97,0.427617,493.93,87658.1
0.974,0.426226,495.664,87261.3
0.978,0.424844,497.391,86867.9
0.982,0.423473,499.108,86477.9
0.986,0.422112,500.817,86091.4
0.99,0.420762,502.517,85708.4
0.994,0.419423,504.208,85329
0.998,0.418095,505.889,84953.2
1.002,0.416778,507.56,84581.1
1.006,0.415473,509.22,84212.7
1.01,0.41418,510.87,83848.1
1.014,0.412898,512.508,83487.3
1.018,0.411629,514.134,83130.4
1.022,0.410372,515.749,82777.4
1.026,0.409128,517.351,82428.5
1.03,0.407896,518.94,82083.6
1.034,0.406679,520.515,81742.9
1.038,0.405474,522.077,81406.3
1.042,0.404284,523.625,81074.1
1.046,0.403108,525.157,80746.2
1.05,0.401946,526.674,80422.7
1.054,0.400799,528.175,80103.6
1.058,0.399667,529.66,79789.2
1.062,0.39855,531.128,79479.4
1.066,0.397449,532.578,79174.3
1.07,0.396364,534.011,78874
1.074,0.395296,535.424,78578.5
1.078,0.394244,536.819,78288
1.082,0.393209,538.193,78002.6
1.086,0.392192,539.548,77722.3
1.09,0.391193,540.881,77447.1
1.094,0.390211,542.192,77177.2
1.098,0.389248,543.482,76912.7
1.102,0.388304,544.748,76653.7
1.106,0.387379,545.992,76400.1
1.11,0.386474,547.211,76152.1
1.114,0.385588,548.406,75909.8
1.118,0.384722,549.576,75673.2
1.122,0.383876,550.72,75442.4
1.126,0.383052,551.838,75217.5
1.13,0.382248,552.929,74998.5
1.134,0.381465,553.994,74785.4
1.138,0.380704,555.03,74578.4
1.142,0.379964,556.039,74377.5
1.146,0.379246,557.019,74182.7
1.15,0.37855,557.97,73994.1
1.154,0.377876,558.892,73811.6
1.158,0.377224,559.785,73635.3
1.162,0.376595,560.648,73465.2
1.166,0.375988,561.481,73301.4
1.17,0.375404,562.284,73143.7
1.174,0.374841,563.057,72992.2
1.178,0.374301,563.801,72846.8
1.182,0.373784,564.514,72707.6
1.186,0.373288,565.197,72574.5
1.19,0.372814,565.85,72447.3
1.194,0.372361,566.473,72326.1
1.198,0.37193,567.068,72210.8
1.202,0.371521,567.633,72101.2
1.206,0.371131,568.17,71997.3
1.21,0.370762,568.679,71899
1.214,0.370413,569.16,71806.1
1.218,0.370084,569.614,71718.5
1.222,0.369773,570.041,71636.1
1.226,0.369481,570.443,71558.7
1.23,0.369206,570.82,71486.2
1.234,0.368949,571.173,71418.4
1.238,0.368709,571.503,71355.2
1.242,0.368484,571.81,71296.3
1.246,0.368275,572.095,71241.6
1.25,0.368081,572.36,71190.9
1.254,0.3679,572.605,71144
1.258,0.367733,572.831,71100.8
1.262,0.367579,573.039,71061
1.266,0.367436,573.23,71024.5
1.27,0.367305,573.405,70991.1
1.274,0.367185,573.564,70960.6
1.278,0.367074,573.71,70932.8
1.282,0.366973,573.842,70907.5
1.286,0.36688,573.962,70884.6
1.29,0.366796,574.071,70864
1.294,0.366719,574.169,70845.3
1.298,0.366649,574.257,70828.6
1.302,0.366585,574.336,70813.6
1.306,0.366527,574.406,70800.1
1.31,0.366474,574.469,70788.2
1.314,0.366427,574.525,70777.6
1.318,0.366383,574.574,70768.2
1.322,0.366344,574.618,70759.9
1.326,0.366308,574.656,70752.6
1.33,0.366275,574.69,70746.2
1.334,0.366245,574.719,70740.6
1.338,0.366218,574.745,70735.7
1.342,0.366193,574.767,70731.5
1.346,0.36617,574.787,70727.8
1.35,0.366149,574.803,70724.7
1.354,0.366129,574.817,70722
1.358,0.366111,574.83,70719.7
1.362,0.366093,574.84,70717.7
1.366,0.366077,574.849,70716.1
1.37,0.366062,574.856,70714.7
1.374,0.366047,574.862,70713.6
1.378,0.366033,574.867,70712.6
1.382,0.366019,574.872,70711.8
1.386,0.366006,574.875,70711.2
1.39,0.365993,574.878,70710.7
1.394,0.365981,574.88,70710.3
1.398,0.365968,574.882,70710
1.402,0.365956,574.883,70709.8
1.406,0.365944,574.884,70709.6
1.41,0.365931,574.885,70709.5
1.414,0.365919,574.885,70709.4
1.418,0.365907,574.886,70709.4
1.422,0.365894,574.886,70709.4
1.426,0.365882,574.886,70709.4
1.43,0.365869,574.886,70709.4
1.434,0.365856,574.886,70709.5
1.438,0.365843,574.885,70709.5
1.442,0.36583,574.885,70709.6
1.446,0.365817,574.885,70709.7
1.45,0.365804,574.885,70709.8
1.454,0.36579,574.884,70709.8
1.458,0.365776,574.884,70709.9
1.462,0.365762,574.884,70710
1.466,0.365747,574.883,70710.1
1.47,0.365733,574.883,70710.2
1.474,0.365718,574.883,70710.3
1.478,0.365702,574.882,70710.4
1.482,0.365687,574.882,70710.4
1.486,0.365671,574.882,70710.5
1.49,0.365655,574.881,70710.6
1.494,0.365639,574.881,70710.7
1.498,0.365622,574.881,70710.8
1.502,0.365605,574.881,70710.8
1.506,0.365588,574.88,70710.9
1.51,0.36557,574.88,70711
1.514,0.365552,574.88,70711
1.518,0.365534,574.88,70711.1
1.522,0.365515,574.88,70711.2
1.526,0.365496,574.879,70711.2
1.53,0.365476,574.879,70711.3
1.534,0.365456,574.879,70711.4
1.538,0.365436,574.879,70711.4
1.542,0.365415,574.879,70711.5
1.546,0.365394,574.879,70711.5
1.55,0.365372,574.878,70711.6
1.554,0.36535,574.878,70711.6
1.558,0.365327,574.878,70711.7
1.562,0.365304,574.878,70711.7
1.566,0.36528,574.878,70711.8
1.57,0.365255,574.878,70711.8
1.574,0.36523,574.878,70711.9
1.578,0.365205,574.878,70711.9
1.582,0.365179,574.878,70712
1.586,0.365152,574.877,70712
1.59,0.365124,574.877,70712.1
1.594,0.365096,574.877,70712.1
1.598,0.365067,574.877,70712.2
1.602,0.365037,574.877,70712.2
1.606,0.365006,574.877,70712.3
1.61,0.364975,574.877,70712.3
1.614,0.364942,574.877,70712.3
1.618,0.364909,574.877,70712.4
1.622,0.364875,574.877,70712.4
1.626,0.364839,574.877,70712.5
1.63,0.364803,574.877,70712.5
1.634,0.364765,574.877,70712.6
1.638,0.364726,574.877,70712.6
1.642,0.364686,574.877,70712.6
1.646,0.364644,574.877,70712.7
1.65,0.364601,574.877,70712.7
1.654,0.364557,574.877,70712.8
1.658,0.364511,574.877,70712.8
1.662,0.364464,574.876,70712.8
1.666,0.364415,574.876,70712.9
1.67,0.364364,574.876,70712.9
1.674,0.364311,574.876,70713
1.678,0.364256,574.876,70713
1.682,0.364199,574.876,70713
1.686,0.364141,574.876,70713.1
1.69,0.36408,574.876,70713.1
1.694,0.364017,574.876,70713.1
1.698,0.363951,574.876,70713.2
1.702,0.363884,574.876,70713.2
1.706,0.363814,574.876,70713.3
1.71,0.363741,574.876,70713.3
1.714,0.363667,574.876,70713.3
1.718,0.363589,574.876,70713.4
1.722,0.36351,574.876,70713.4
1.726,0.363428,574.876,70713.4
1.73,0.363344,574.876,70713.5
1.734,0.363257,574.876,70713.5
1.738,0.363169,574.876,70713.6
1.742,0.363078,574.876,70713.6
1.746,0.362986,574.876,70713.6
1.75,0.362893,574.877,70713.7
