x,rho,vitesse,pression
0.002,1,0,287000
0.006,1,0,287000
0.01,1,0,287000
0.014,1,5.29465e-14,287000
0.018,1,1.85312e-13,287000
0.022,1,3.17675e-13,287000
0.026,1,5.29456e-13,287000
0.03,1,9.79493e-13,287000
0.034,1,1.90604e-12,287000
0.038,1,3.62677e-12,287000
0.042,1,6.98882e-12,287000
0.046,1,1.33423e-11,287000
0.05,1,2.54933e-11,287000
0.054,1,4.84717e-11,287000
0.058,1,9.16488e-11,287000
0.062,1,1.72073e-10,287000
0.066,1,3.20744e-10,287000
0.07,1,5.93387e-10,287000
0.074,1,1.08972e-09,287000
0.078,1,1.98662e-09,287000
0.082,1,3.59457e-09,287000
0.086,1,6.45569e-09,287000
0.09,1,1.15073e-08,287000
0.094,1,2.03581e-08,287000
0.098,1,3.57467e-08,287000
0.102,1,6.22961e-08,287000
0.106,1,1.07748e-07,287000
0.11,1,1.84958e-07,287000
0.114,1,3.15103e-07,287000
0.118,1,5.3277e-07,287000
0.122,1,8.93987e-07,287000
0.126,1,1.48875e-06,287000
0.13,1,2.4604e-06,287000
0.134,1,4.03534e-06,287000
0.138,1,6.56807e-06,287000
0.142,1,1.0609e-05,287000
0.146,1,1.70053e-05,287000
0.15,1,2.70497e-05,287000
0.154,1,4.26975e-05,287000
0.158,1,6.68805e-05,287000
0.162,1,0.000103956,287000
0.166,1,0.000160339,287000
0.17,1,0.000245398,287000
0.174,0.999999,0.00037268,287000
0.178,0.999999,0.000561598,287000
0.182,0.999999,0.000839723,286999
0.186,0.999998,0.00124583,286999
0.19,0.999997,0.00183396,286999
0.194,0.999996,0.00267868,286998
0.198,0.999994,0.0038819,286998
0.202,0.999991,0.00558155,286996
0.206,0.999987,0.00796241,286995
0.21,0.999982,0.0112696,286993
0.214,0.999975,0.0158248,286990
0.218,0.999965,0.0220459,286986
0.222,0.999952,0.0304699,286981
0.226,0.999934,0.0417794,286974
0.23,0.99991,0.0568325,286964
0.234,0.999879,0.0766955,286951
