x,rho,vitesse,pression
0.002,0.999266,0.465372,286705
0.006,0.999104,0.567932,286640
0.01,0.998913,0.689188,286563
0.014,0.998689,0.831574,286473
0.018,0.998427,0.99771,286368
0.022,0.998123,1.19033,286246
0.026,0.997774,1.41226,286106
0.03,0.997374,1.66637,285945
0.034,0.996918,1.95555,285763
0.038,0.996404,2.28266,285556
0.042,0.995825,2.65048,285324
0.046,0.995178,3.06167,285065
0.05,0.99446,3.51874,284777
0.054,0.993667,4.02399,284459
0.058,0.992795,4.57949,284110
0.062,0.991842,5.18706,283728
0.066,0.990806,5.8482,283313
0.07,0.989684,6.56413,282865
0.074,0.988477,7.33576,282382
0.078,0.987183,8.16367,281865
0.082,0.985802,9.04814,281313
0.086,0.984334,9.98915,280727
0.09,0.982781,10.9864,280107
0.094,0.981143,12.0393,279454
0.098,0.979422,13.1471,278769
0.102,0.977619,14.3087,278051
0.106,0.975738,15.5229,277303
0.11,0.97378,16.7884,276525
0.114,0.971749,18.1037,275718
0.118,0.969647,19.4671,274884
0.122,0.967477,20.8769,274024
0.126,0.965242,22.3315,273139
0.13,0.962945,23.829,272230
0.134,0.96059,25.3677,271299
0.138,0.95818,26.9457,270347
0.142,0.955716,28.5612,269376
0.146,0.953204,30.2126,268386
0.15,0.950645,31.898,267378
0.154,0.948042,33.6158,266355
0.158,0.945399,35.3644,265317
0.162,0.942717,37.1421,264265
0.166,0.94,38.9475,263200
0.17,0.93725,40.7791,262124
0.174,0.934469,42.6356,261037
0.178,0.93166,44.5155,259940
0.182,0.928824,46.4176,258834
0.186,0.925964,48.3408,257720
0.19,0.923081,50.2839,256599
0.194,0.920177,52.2458,255471
0.198,0.917255,54.2254,254337
0.202,0.914315,56.2219,253198
0.206,0.91136,58.2342,252054
0.21,0.90839,60.2616,250906
0.214,0.905407,62.3032,249755
0.218,0.902412,64.3583,248601
0.222,0.899406,66.4261,247444
0.226,0.896391,68.506,246285
0.23,0.893368,70.5973,245124
0.234,0.890337,72.6994,243962
0.238,0.887299,74.8117,242799
0.242,0.884256,76.9338,241636
0.246,0.881208,79.065,240472
0.25,0.878156,81.205,239309
0.254,0.875101,83.3533,238146
0.258,0.872043,85.5095,236983
0.262,0.868982,87.6731,235821
0.266,0.865921,89.8438,234661
0.27,0.862858,92.0212,233501
0.274,0.859795,94.2051,232343
0.278,0.856733,96.3951,231187
0.282,0.85367,98.5908,230033
0.286,0.850609,100.792,228881
0.29,0.84755,102.999,227731
0.294,0.844492,105.21,226583
0.298,0.841436,107.427,225438
0.302,0.838383,109.648,224296
0.306,0.835333,111.873,223156
0.31,0.832286,114.102,222019
0.314,0.829242,116.336,220885
0.318,0.826202,118.573,219755
0.322,0.823166,120.813,218627
0.326,0.820134,123.058,217502
0.33,0.817107,125.305,216381
0.334,0.814084,127.556,215264
0.338,0.811067,129.81,214149
0.342,0.808054,132.066,213038
0.346,0.805046,134.326,211931
0.35,0.802044,136.588,210828
0.354,0.799048,138.852,209728
0.358,0.796057,141.119,208632
0.362,0.793072,143.388,207540
0.366,0.790093,145.66,206451
0.37,0.78712,147.934,205367
0.374,0.784153,150.21,204286
0.378,0.781193,152.487,203209
0.382,0.778239,154.767,202136
0.386,0.775291,157.048,201068
0.39,0.772351,159.331,200003
0.394,0.769417,161.616,198942
0.398,0.76649,163.903,197886
0.402,0.763569,166.191,196833
0.406,0.760656,168.48,195785
0.41,0.75775,170.771,194741
0.414,0.754851,173.063,193701
0.418,0.751959,175.357,192665
0.422,0.749074,177.652,191634
0.426,0.746196,179.948,190606
0.43,0.743326,182.245,189583
0.434,0.740464,184.543,188564
0.438,0.737608,186.843,187549
0.442,0.734761,189.143,186539
0.446,0.73192,191.444,185532
0.45,0.729088,193.747,184530
0.454,0.726263,196.05,183532
0.458,0.723445,198.354,182539
0.462,0.720636,200.659,181550
0.466,0.717834,202.965,180565
0.47,0.71504,205.271,179584
0.474,0.712253,207.578,178607
0.478,0.709475,209.886,177635
0.482,0.706704,212.195,176667
0.486,0.703941,214.504,175704
0.49,0.701186,216.814,174744
0.494,0.698439,219.124,173789
0.498,0.6957,221.435,172838
0.502,0.692968,223.746,171891
0.506,0.690245,226.058,170949
0.51,0.68753,228.371,170011
0.514,0.684822,230.683,169077
0.518,0.682123,232.997,168147
0.522,0.679432,235.31,167222
0.526,0.676748,237.624,166301
0.53,0.674073,239.938,165384
0.534,0.671406,242.253,164471
0.538,0.668747,244.568,163562
0.542,0.666095,246.883,162658
0.546,0.663452,249.198,161758
0.55,0.660818,251.514,160862
0.554,0.658191,253.83,159970
0.558,0.655572,256.146,159082
0.562,0.652961,258.462,158199
0.566,0.650359,260.778,157319
0.57,0.647765,263.095,156444
0.574,0.645178,265.411,155573
0.578,0.6426,267.728,154706
0.582,0.64003,270.045,153844
0.586,0.637468,272.361,152985
0.59,0.634915,274.678,152131
0.594,0.632369,276.995,151280
0.598,0.629832,279.311,150434
0.602,0.627303,281.628,149592
