x,rho,vitesse,pression
0.002,0.997146,1.81108,285854
0.006,0.996671,2.11253,285664
0.01,0.996137,2.45227,285449
0.014,0.995539,2.8323,285209
0.018,0.994875,3.25504,284943
0.022,0.99414,3.72272,284648
0.026,0.993332,4.2374,284325
0.03,0.992447,4.80088,283970
0.034,0.991485,5.41473,283585
0.038,0.990442,6.08023,283168
0.042,0.989318,6.79837,282718
0.046,0.988111,7.56988,282236
0.05,0.986822,8.39516,281720
0.054,0.985449,9.27436,281172
0.058,0.983994,10.2074,280592
0.062,0.982458,11.1937,279979
0.066,0.980842,12.2329,279334
0.07,0.979147,13.324,278659
0.074,0.977376,14.466,277954
0.078,0.975529,15.6578,277220
0.082,0.973611,16.898,276458
0.086,0.971624,18.1852,275668
0.09,0.969569,19.5178,274853
0.094,0.967451,20.8942,274013
0.098,0.965271,22.3129,273150
0.102,0.963033,23.7721,272265
0.106,0.96074,25.2701,271358
0.11,0.958395,26.8053,270432
0.114,0.955999,28.376,269487
0.118,0.953558,29.9805,268525
0.122,0.951072,31.6173,267546
0.126,0.948545,33.2847,266552
0.13,0.945979,34.9813,265544
0.134,0.943377,36.7055,264523
0.138,0.940741,38.456,263490
0.142,0.938073,40.2314,262445
0.146,0.935376,42.0304,261391
0.15,0.932652,43.8518,260327
0.154,0.929903,45.6943,259254
0.158,0.92713,47.5568,258174
0.162,0.924336,49.4384,257086
0.166,0.921522,51.3379,255992
0.17,0.91869,53.2544,254893
0.174,0.91584,55.1869,253788
0.178,0.912976,57.1347,252679
0.182,0.910097,59.097,251565
0.186,0.907206,61.0728,250448
0.19,0.904303,63.0616,249329
0.194,0.90139,65.0627,248206
0.198,0.898467,67.0753,247082
0.202,0.895536,69.0989,245955
0.206,0.892598,71.133,244828
0.21,0.889653,73.1769,243699
0.214,0.886702,75.2302,242570
0.218,0.883746,77.2924,241440
0.222,0.880786,79.3631,240310
0.226,0.877823,81.4417,239181
0.23,0.874856,83.528,238051
0.234,0.871888,85.6215,236923
0.238,0.868918,87.722,235795
0.242,0.865946,89.8289,234669
0.246,0.862974,91.9421,233544
0.25,0.860002,94.0612,232420
0.254,0.857029,96.1859,231298
0.258,0.854058,98.3161,230178
0.262,0.851088,100.451,229059
0.266,0.848119,102.591,227943
0.27,0.845152,104.736,226829
0.274,0.842187,106.886,225718
0.278,0.839224,109.039,224609
0.282,0.836264,111.197,223502
0.286,0.833308,113.358,222399
0.29,0.830354,115.523,221298
0.294,0.827404,117.692,220200
0.298,0.824458,119.864,219105
0.302,0.821516,122.039,218012
0.306,0.818578,124.218,216924
0.31,0.815644,126.399,215838
0.314,0.812715,128.583,214755
0.318,0.80979,130.77,213676
0.322,0.806871,132.96,212601
0.326,0.803957,135.152,211528
0.33,0.801047,137.346,210459
0.334,0.798143,139.543,209394
0.338,0.795245,141.742,208332
0.342,0.792352,143.943,207274
0.346,0.789465,146.146,206219
0.35,0.786584,148.351,205169
0.354,0.783709,150.558,204121
0.358,0.780839,152.767,203078
0.362,0.777976,154.977,202038
0.366,0.775119,157.189,201002
0.37,0.772268,159.403,199970
0.374,0.769424,161.618,198942
0.378,0.766586,163.835,197918
0.382,0.763755,166.053,196897
0.386,0.76093,168.272,195881
0.39,0.758112,170.493,194868
0.394,0.755301,172.715,193859
0.398,0.752497,174.938,192854
0.402,0.749699,177.163,191854
0.406,0.746908,179.388,190857
0.41,0.744124,181.615,189864
0.414,0.741347,183.842,188875
0.418,0.738577,186.071,187890
0.422,0.735815,188.3,186909
0.426,0.733059,190.531,185932
0.43,0.73031,192.762,184959
0.434,0.727569,194.994,183990
0.438,0.724835,197.227,183025
0.442,0.722108,199.461,182064
0.446,0.719388,201.696,181107
0.45,0.716675,203.931,180154
0.454,0.71397,206.167,179205
0.458,0.711273,208.403,178260
0.462,0.708582,210.64,177319
0.466,0.705899,212.878,176382
0.47,0.703223,215.117,175449
0.474,0.700555,217.355,174520
0.478,0.697894,219.595,173596
0.482,0.695241,221.835,172675
0.486,0.692595,224.075,171758
0.49,0.689957,226.316,170845
0.494,0.687326,228.557,169936
0.498,0.684703,230.799,169031
0.502,0.682087,233.041,168130
