x,rho,vitesse,pression
0.002,1,0,287000
0.006,1,0,287000
0.01,1,0,287000
0.014,1,0,287000
0.018,1,0,287000
0.022,1,0,287000
0.026,1,0,287000
0.03,1,0,287000
0.034,1,0,287000
0.038,1,0,287000
0.042,1,0,287000
0.046,1,0,287000
0.05,1,0,287000
0.054,1,0,287000
0.058,1,0,287000
0.062,1,0,287000
0.066,1,1.58812e-13,287000
0.07,1,2.11747e-13,287000
0.074,1,3.97024e-13,287000
0.078,1,6.61705e-13,287000
0.082,1,1.19107e-12,287000
0.086,1,2.2498e-12,287000
0.09,1,4.47313e-12,287000
0.094,1,8.73453e-12,287000
0.098,1,1.70456e-11,287000
0.102,1,3.32441e-11,287000
0.106,1,6.44502e-11,287000
0.11,1,1.23977e-10,287000
0.114,1,2.36758e-10,287000
0.118,1,4.48504e-10,287000
0.122,1,8.43145e-10,287000
0.126,1,1.57256e-09,287000
0.13,1,2.90994e-09,287000
0.134,1,5.34187e-09,287000
0.138,1,9.72823e-09,287000
0.142,1,1.75751e-08,287000
0.146,1,3.14978e-08,287000
0.15,1,5.5999e-08,287000
0.154,1,9.87617e-08,287000
0.158,1,1.72783e-07,287000
0.162,1,2.99857e-07,287000
0.166,1,5.16206e-07,287000
0.17,1,8.81498e-07,287000
0.174,1,1.49315e-06,287000
0.178,1,2.5088e-06,287000
0.182,1,4.18122e-06,287000
0.186,1,6.91207e-06,287000
0.19,1,1.13338e-05,287000
0.194,1,1.84332e-05,287000
0.198,1,2.97355e-05,287000
0.202,1,4.75768e-05,287000
0.206,1,7.55012e-05,287000
0.21,1,0.000118835,287000
0.214,1,0.000185507,287000
0.218,1,0.000287206,287000
0.222,0.999999,0.000441001,287000
0.226,0.999999,0.000671569,287000
0.23,0.999998,0.00101424,286999
0.234,0.999998,0.00151907,286999
0.238,0.999996,0.00225632,286999
0.242,0.999995,0.00332352,286998
0.246,0.999992,0.00485473,286997
0.25,0.999989,0.0070322,286996
0.254,0.999984,0.0101012,286994
