x,rho,vitesse,pression
0.002,0.906819,61.3359,250297
0.006,0.904637,62.8323,249455
0.01,0.902242,64.4778,248531
0.014,0.899821,66.1439,247599
0.018,0.897394,67.8182,246665
0.022,0.894963,69.4993,245731
0.026,0.892527,71.1867,244796
0.03,0.890088,72.8801,243861
0.034,0.887646,74.5793,242925
0.038,0.885202,76.284,241990
0.042,0.882755,77.9939,241055
0.046,0.880306,79.7088,240121
0.05,0.877856,81.4286,239186
0.054,0.875404,83.1529,238253
0.058,0.872952,84.8816,237320
0.062,0.8705,86.6146,236388
0.066,0.868047,88.3515,235457
0.07,0.865594,90.0924,234528
0.074,0.863142,91.8369,233599
0.078,0.86069,93.5849,232672
0.082,0.858239,95.3364,231746
0.086,0.855789,97.0911,230821
0.09,0.85334,98.8489,229898
0.094,0.850893,100.61,228977
0.098,0.848447,102.373,228057
0.102,0.846003,104.14,227139
0.106,0.843561,105.909,226223
0.11,0.841121,107.681,225309
0.114,0.838683,109.455,224396
0.118,0.836248,111.231,223486
0.122,0.833815,113.01,222577
0.126,0.831385,114.791,221671
0.13,0.828957,116.574,220767
0.134,0.826533,118.359,219864
0.138,0.824112,120.146,218964
0.142,0.821693,121.935,218067
0.146,0.819278,123.725,217171
0.15,0.816866,125.518,216278
0.154,0.814458,127.312,215387
0.158,0.812053,129.107,214498
0.162,0.809652,130.905,213612
0.166,0.807254,132.703,212728
0.17,0.80486,134.504,211847
0.174,0.80247,136.305,210968
0.178,0.800084,138.108,210092
0.182,0.797701,139.912,209218
0.186,0.795323,141.718,208346
0.19,0.792948,143.525,207477
0.194,0.790578,145.332,206611
0.198,0.788212,147.141,205747
0.202,0.78585,148.952,204886
0.206,0.783492,150.763,204027
0.21,0.781139,152.575,203171
0.214,0.77879,154.388,202318
0.218,0.776446,156.202,201467
0.222,0.774105,158.017,200619
0.226,0.77177,159.833,199773
0.23,0.769438,161.65,198930
0.234,0.767112,163.468,198090
0.238,0.76479,165.286,197253
0.242,0.762472,167.106,196418
0.246,0.760159,168.926,195586
0.25,0.757851,170.747,194756
0.254,0.755547,172.568,193929
0.258,0.753249,174.39,193105
0.262,0.750954,176.213,192284
0.266,0.748665,178.037,191465
0.27,0.746381,179.861,190649
0.274,0.744101,181.685,189836
0.278,0.741826,183.511,189025
0.282,0.739556,185.337,188217
0.286,0.73729,187.163,187412
0.29,0.73503,188.99,186610
0.294,0.732774,190.817,185810
0.298,0.730524,192.645,185013
0.302,0.728278,194.474,184219
0.306,0.726037,196.303,183428
0.31,0.723802,198.132,182639
0.314,0.721571,199.962,181853
0.318,0.719345,201.792,181069
0.322,0.717124,203.623,180289
0.326,0.714908,205.454,179511
0.33,0.712697,207.285,178736
0.334,0.710491,209.117,177963
0.338,0.70829,210.949,177194
0.342,0.706095,212.781,176427
0.346,0.703904,214.614,175662
0.35,0.701718,216.447,174901
0.354,0.699537,218.28,174142
0.358,0.697362,220.114,173386
0.362,0.695191,221.948,172632
0.366,0.693026,223.782,171882
0.37,0.690865,225.616,171133
0.374,0.68871,227.451,170388
0.378,0.68656,229.286,169645
0.382,0.684414,231.121,168905
0.386,0.682274,232.956,168168
0.39,0.680139,234.792,167434
0.394,0.678009,236.628,166702
0.398,0.675885,238.464,165972
0.402,0.673765,240.3,165246
0.406,0.67165,242.136,164522
0.41,0.669541,243.972,163801
0.414,0.667437,245.809,163082
0.418,0.665337,247.646,162366
0.422,0.663243,249.482,161653
0.426,0.661154,251.319,160942
0.43,0.65907,253.156,160234
0.434,0.656992,254.993,159529
0.438,0.654918,256.831,158826
