x,rho,vitesse,pression
0.002,0.854885,97.7329,230481
0.006,0.852986,99.0981,229764
0.01,0.850791,100.678,228938
0.014,0.848552,102.293,228096
0.018,0.846307,103.916,227252
0.022,0.844063,105.542,226410
0.026,0.841821,107.169,225569
0.03,0.839581,108.799,224730
0.034,0.837343,110.43,223893
0.038,0.835107,112.064,223057
0.042,0.832874,113.699,222223
0.046,0.830643,115.336,221391
0.05,0.828414,116.974,220561
0.054,0.826188,118.614,219732
0.058,0.823965,120.256,218906
0.062,0.821744,121.899,218081
0.066,0.819526,123.544,217259
0.07,0.817311,125.19,216438
0.074,0.815099,126.837,215620
0.078,0.81289,128.485,214803
0.082,0.810685,130.135,213989
0.086,0.808482,131.786,213176
0.09,0.806282,133.438,212366
0.094,0.804086,135.091,211557
0.098,0.801893,136.746,210751
0.102,0.799704,138.401,209947
0.106,0.797517,140.058,209145
0.11,0.795335,141.715,208345
0.114,0.793156,143.373,207548
0.118,0.79098,145.033,206752
0.122,0.788808,146.693,205959
0.126,0.786639,148.354,205168
0.13,0.784475,150.016,204379
0.134,0.782313,151.679,203592
0.138,0.780156,153.342,202808
0.142,0.778002,155.007,202026
0.146,0.775853,156.672,201246
0.15,0.773706,158.337,200468
0.154,0.771564,160.004,199693
0.158,0.769426,161.671,198919
0.162,0.767291,163.339,198149
0.166,0.765161,165.007,197380
0.17,0.763034,166.676,196614
0.174,0.760911,168.346,195849
0.178,0.758793,170.016,195088
0.182,0.756678,171.687,194328
0.186,0.754567,173.358,193571
0.19,0.75246,175.03,192816
0.194,0.750358,176.703,192063
0.198,0.748259,178.376,191313
0.202,0.746165,180.049,190565
0.206,0.744074,181.723,189819
0.21,0.741988,183.397,189075
0.214,0.739905,185.072,188334
0.218,0.737827,186.747,187595
0.222,0.735753,188.423,186859
0.226,0.733683,190.099,186125
0.23,0.731618,191.775,185393
0.234,0.729556,193.452,184663
0.238,0.727499,195.129,183936
0.242,0.725446,196.806,183211
0.246,0.723397,198.484,182488
0.25,0.721352,200.163,181767
0.254,0.719311,201.841,181049
0.258,0.717275,203.52,180333
0.262,0.715243,205.199,179620
0.266,0.713215,206.878,178909
0.27,0.711191,208.558,178200
0.274,0.709172,210.238,177493
0.278,0.707157,211.918,176789
0.282,0.705146,213.599,176086
0.286,0.703139,215.279,175387
0.29,0.701137,216.96,174689
0.294,0.699138,218.642,173994
0.298,0.697144,220.323,173301
0.302,0.695155,222.005,172610
0.306,0.69317,223.686,171922
0.31,0.691189,225.368,171236
0.314,0.689212,227.051,170552
0.318,0.687239,228.733,169870
0.322,0.685271,230.416,169191
0.326,0.683307,232.098,168514
0.33,0.681348,233.781,167839
0.334,0.679392,235.464,167167
0.338,0.677441,237.147,166496
0.342,0.675495,238.831,165828
0.346,0.673552,240.514,165163
0.35,0.671614,242.198,164499
0.354,0.66968,243.882,163838
0.358,0.667751,245.565,163179
0.362,0.665826,247.249,162522
0.366,0.663905,248.933,161867
0.37,0.661988,250.617,161215
0.374,0.660076,252.302,160565
0.378,0.658168,253.986,159917
0.382,0.656265,255.67,159271
0.386,0.654365,257.355,158627
0.39,0.65247,259.039,157986
0.394,0.65058,260.723,157347
0.398,0.648693,262.408,156710
0.402,0.646811,264.093,156075
0.406,0.644934,265.777,155443
0.41,0.64306,267.462,154813
0.414,0.641191,269.147,154185
0.418,0.639326,270.831,153559
0.422,0.637466,272.516,152935
0.426,0.63561,274.201,152313
0.43,0.633758,275.885,151694
0.434,0.63191,277.57,151076
0.438,0.630067,279.255,150461
0.442,0.628228,280.939,149848
0.446,0.626393,282.624,149238
0.45,0.624563,284.309,148629
0.454,0.622737,285.993,148022
0.458,0.620915,287.678,147418
0.462,0.619098,289.362,146816
0.466,0.617285,291.047,146216
0.47,0.615476,292.731,145618
0.474,0.613671,294.415,145022
0.478,0.611871,296.099,144428
0.482,0.610075,297.783,143837
0.486,0.608284,299.467,143247
0.49,0.606496,301.151,142660
0.494,0.604713,302.835,142075
0.498,0.602935,304.519,141491
0.502,0.60116,306.202,140910
0.506,0.59939,307.886,140331
0.51,0.597624,309.569,139754
0.514,0.595863,311.252,139180
0.518,0.594105,312.935,138607
0.522,0.592352,314.618,138036
0.526,0.590604,316.301,137468
0.53,0.588859,317.983,136901
0.534,0.587119,319.665,136337
0.538,0.585384,321.347,135774
0.542,0.583652,323.029,135214
