x,rho,vitesse,pression
0.002,0.916165,54.9642,253912
0.006,0.913953,56.4682,253055
0.01,0.911546,58.1082,252123
0.014,0.909116,59.7679,251183
0.018,0.906676,61.4371,250241
0.022,0.90423,63.1146,249297
0.026,0.901777,64.8,248351
0.03,0.899319,66.4928,247405
0.034,0.896855,68.1927,246458
0.038,0.894387,69.8995,245510
0.042,0.891915,71.6127,244561
0.046,0.88944,73.3322,243612
0.05,0.886962,75.0575,242664
0.054,0.88448,76.7885,241715
0.058,0.881997,78.5248,240766
0.062,0.879512,80.2663,239818
0.066,0.877026,82.0127,238871
0.07,0.874538,83.7639,237924
0.074,0.87205,85.5195,236978
0.078,0.869561,87.2794,236032
0.082,0.867072,89.0434,235088
0.086,0.864583,90.8114,234145
0.09,0.862095,92.5831,233203
0.094,0.859607,94.3585,232263
0.098,0.85712,96.1373,231324
0.102,0.854634,97.9195,230386
0.106,0.852149,99.7048,229451
0.11,0.849666,101.493,228516
0.114,0.847185,103.285,227584
0.118,0.844706,105.079,226653
0.122,0.842228,106.876,225724
0.126,0.839753,108.675,224797
0.13,0.83728,110.477,223872
0.134,0.83481,112.281,222949
0.138,0.832342,114.088,222029
0.142,0.829877,115.897,221110
0.146,0.827415,117.708,220193
0.15,0.824956,119.521,219279
0.154,0.8225,121.336,218367
0.158,0.820048,123.153,217457
0.162,0.817599,124.972,216550
0.166,0.815153,126.792,215645
0.17,0.812711,128.614,214742
0.174,0.810272,130.438,213842
0.178,0.807837,132.264,212944
0.182,0.805406,134.091,212049
0.186,0.802979,135.919,211156
0.19,0.800556,137.749,210266
0.194,0.798136,139.58,209378
0.198,0.795721,141.413,208493
0.202,0.79331,143.247,207611
0.206,0.790903,145.082,206731
0.21,0.788501,146.918,205854
0.214,0.786102,148.756,204979
0.218,0.783709,150.594,204107
0.222,0.781319,152.434,203238
0.226,0.778934,154.274,202371
0.23,0.776553,156.116,201507
0.234,0.774177,157.959,200646
0.238,0.771806,159.802,199788
0.242,0.769439,161.647,198932
0.246,0.767077,163.492,198079
0.25,0.76472,165.338,197229
0.254,0.762367,167.185,196381
0.258,0.760019,169.033,195536
0.262,0.757676,170.882,194694
0.266,0.755338,172.731,193855
0.27,0.753004,174.581,193019
0.274,0.750675,176.432,192185
0.278,0.748352,178.283,191354
0.282,0.746033,180.135,190526
0.286,0.743719,181.988,189701
0.29,0.74141,183.841,188879
0.294,0.739106,185.695,188059
0.298,0.736807,187.549,187242
0.302,0.734513,189.404,186428
0.306,0.732224,191.26,185617
0.31,0.729941,193.116,184808
0.314,0.727662,194.972,184003
0.318,0.725388,196.829,183200
0.322,0.72312,198.687,182400
0.326,0.720856,200.545,181603
0.33,0.718598,202.403,180808
0.334,0.716344,204.262,180017
0.338,0.714096,206.121,179228
0.342,0.711853,207.981,178442
0.346,0.709616,209.841,177659
0.35,0.707383,211.701,176878
0.354,0.705156,213.561,176101
0.358,0.702933,215.422,175326
0.362,0.700716,217.284,174554
0.366,0.698505,219.145,173785
0.37,0.696298,221.007,173018
0.374,0.694097,222.869,172254
0.378,0.691901,224.732,171494
