x,rho,vitesse,pression
0.002,0.882766,77.9801,241061
0.006,0.880697,79.4292,240271
0.01,0.878373,81.06,239385
0.014,0.876018,82.7165,238487
0.018,0.873658,84.3798,237589
0.022,0.871298,86.0472,236691
0.026,0.868937,87.7183,235795
0.03,0.866576,89.3929,234899
0.034,0.864215,91.071,234005
0.038,0.861855,92.7523,233111
0.042,0.859495,94.4367,232219
0.046,0.857137,96.1241,231329
0.05,0.854779,97.8144,230439
0.054,0.852423,99.5075,229552
0.058,0.850068,101.203,228665
0.062,0.847715,102.902,227781
0.066,0.845364,104.602,226898
0.07,0.843014,106.305,226016
0.074,0.840667,108.011,225137
0.078,0.838322,109.718,224259
0.082,0.835979,111.428,223383
0.086,0.833638,113.14,222510
0.09,0.831301,114.853,221638
0.094,0.828965,116.569,220767
0.098,0.826633,118.286,219899
0.102,0.824303,120.006,219034
0.106,0.821976,121.726,218170
0.11,0.819653,123.449,217308
0.114,0.817332,125.173,216448
0.118,0.815015,126.898,215591
0.122,0.812701,128.625,214735
0.126,0.81039,130.354,213882
0.13,0.808083,132.084,213032
0.134,0.805779,133.815,212183
0.138,0.803479,135.547,211337
0.142,0.801182,137.281,210493
0.146,0.798889,139.015,209651
0.15,0.7966,140.751,208812
0.154,0.794314,142.488,207975
0.158,0.792033,144.227,207140
0.162,0.789755,145.966,206308
0.166,0.787481,147.706,205478
0.17,0.785211,149.447,204650
0.174,0.782945,151.189,203825
0.178,0.780683,152.932,203003
0.182,0.778425,154.676,202182
0.186,0.776171,156.421,201365
0.19,0.773921,158.166,200549
0.194,0.771676,159.913,199736
0.198,0.769434,161.66,198926
0.202,0.767197,163.408,198118
0.206,0.764964,165.156,197313
0.21,0.762736,166.906,196510
0.214,0.760511,168.655,195709
0.218,0.758292,170.406,194911
0.222,0.756076,172.157,194116
0.226,0.753865,173.909,193323
0.23,0.751658,175.662,192532
0.234,0.749455,177.415,191744
0.238,0.747257,179.169,190959
0.242,0.745064,180.923,190176
0.246,0.742875,182.677,189395
0.25,0.74069,184.433,188617
0.254,0.73851,186.188,187842
0.258,0.736334,187.945,187069
0.262,0.734163,189.701,186299
0.266,0.731997,191.458,185531
0.27,0.729835,193.216,184766
0.274,0.727677,194.974,184003
0.278,0.725524,196.732,183243
0.282,0.723376,198.491,182485
0.286,0.721232,200.25,181730
0.29,0.719093,202.01,180977
0.294,0.716959,203.77,180227
0.298,0.714829,205.53,179479
0.302,0.712704,207.29,178734
0.306,0.710584,209.051,177992
0.31,0.708468,210.813,177251
0.314,0.706356,212.574,176514
0.318,0.70425,214.336,175779
0.322,0.702148,216.098,175046
0.326,0.700051,217.86,174316
0.33,0.697958,219.623,173589
0.334,0.695871,221.386,172864
0.338,0.693787,223.149,172141
0.342,0.691709,224.912,171421
0.346,0.689635,226.676,170704
0.35,0.687566,228.439,169988
0.354,0.685502,230.203,169276
0.358,0.683442,231.968,168566
0.362,0.681387,233.732,167858
0.366,0.679337,235.496,167153
0.37,0.677292,237.261,166450
0.374,0.675251,239.026,165750
0.378,0.673215,240.791,165053
0.382,0.671184,242.556,164357
0.386,0.669157,244.321,163665
0.39,0.667135,246.087,162974
0.394,0.665118,247.852,162286
0.398,0.663106,249.618,161601
0.402,0.661098,251.383,160918
0.406,0.659096,253.149,160237
0.41,0.657097,254.915,159559
0.414,0.655104,256.681,158884
0.418,0.653115,258.447,158210
0.422,0.651131,260.213,157540
0.426,0.649152,261.979,156871
0.43,0.647178,263.746,156205
0.434,0.645208,265.512,155542
0.438,0.643243,267.278,154880
0.442,0.641283,269.044,154222
0.446,0.639327,270.811,153565
0.45,0.637377,272.577,152911
0.454,0.635431,274.344,152260
0.458,0.633489,276.11,151611
0.462,0.631553,277.876,150964
0.466,0.629621,279.642,150319
0.47,0.627694,281.409,149677
0.474,0.625771,283.175,149037
0.478,0.623854,284.941,148400
0.482,0.621941,286.707,147765
0.486,0.620033,288.473,147132
0.49,0.618129,290.239,146502
0.494,0.616231,292.005,145874
0.498,0.614337,293.771,145249
