x,rho,vitesse,pression
0.002,0.998267,1.09923,286304
0.006,0.997943,1.30468,286174
0.01,0.997572,1.54046,286025
0.014,0.997149,1.80912,285855
0.018,0.99667,2.11343,285663
0.022,0.996131,2.4561,285447
0.026,0.995527,2.83976,285205
0.03,0.994856,3.26688,284936
0.034,0.994113,3.73978,284638
0.038,0.993295,4.26055,284310
0.042,0.9924,4.83106,283952
0.046,0.991425,5.45291,283561
0.05,0.990368,6.12742,283138
0.054,0.989228,6.8556,282682
0.058,0.988004,7.63818,282193
0.062,0.986696,8.47559,281670
0.066,0.985303,9.36796,281114
0.07,0.983826,10.3151,280524
0.074,0.982267,11.3167,279902
0.078,0.980626,12.3721,279248
0.082,0.978904,13.4803,278563
0.086,0.977105,14.6404,277847
0.09,0.97523,15.8511,277101
0.094,0.973282,17.111,276327
0.098,0.971263,18.4187,275525
0.102,0.969177,19.7726,274697
0.106,0.967025,21.1709,273845
0.11,0.964812,22.6122,272968
0.114,0.962539,24.0945,272069
0.118,0.960211,25.6163,271149
0.122,0.957829,27.1757,270209
0.126,0.955397,28.7711,269250
0.13,0.952919,30.4007,268273
0.134,0.950395,32.063,267280
0.138,0.94783,33.7563,266272
0.142,0.945227,35.479,265249
0.146,0.942586,37.2297,264213
0.15,0.939912,39.0069,263165
0.154,0.937206,40.8093,262106
0.158,0.93447,42.6355,261037
0.162,0.931707,44.4842,259958
0.166,0.928919,46.3543,258871
0.17,0.926108,48.2446,257776
0.174,0.923274,50.154,256674
0.178,0.920421,52.0815,255565
0.182,0.91755,54.0261,254451
0.186,0.914662,55.9869,253332
0.19,0.911759,57.963,252208
0.194,0.908842,59.9536,251081
0.198,0.905912,61.958,249949
0.202,0.902971,63.9753,248816
0.206,0.900019,66.0049,247679
0.21,0.897059,68.0462,246541
0.214,0.89409,70.0985,245401
0.218,0.891114,72.1613,244259
0.222,0.888131,74.234,243117
0.226,0.885143,76.3161,241974
0.23,0.88215,78.4072,240831
0.234,0.879153,80.5067,239688
0.238,0.876153,82.6142,238545
0.242,0.87315,84.7294,237403
0.246,0.870145,86.8518,236262
0.25,0.867139,88.9811,235121
0.254,0.864132,91.117,233982
0.258,0.861124,93.2592,232844
0.262,0.858116,95.4072,231708
0.266,0.855109,97.5609,230574
0.27,0.852102,99.72,229442
0.274,0.849097,101.884,228311
0.278,0.846093,104.053,227183
0.282,0.843092,106.227,226058
0.286,0.840093,108.405,224934
