x,rho,vitesse,pression
0.002,1,0,287000
0.006,1,0,287000
0.01,1,0,287000
0.014,1,0,287000
0.018,1,0,287000
0.022,1,0,287000
0.026,1,0,287000
0.03,1,0,287000
0.034,1,0,287000
0.038,1,0,287000
0.042,1,0,287000
0.046,1,0,287000
0.05,1,0,287000
0.054,1,0,287000
0.058,1,0,287000
0.062,1,0,287000
0.066,1,0,287000
0.07,1,0,287000
0.074,1,0,287000
0.078,1,0,287000
0.082,1,0,287000
0.086,1,0,287000
0.09,1,0,287000
0.094,1,0,287000
0.098,1,0,287000
0.102,1,0,287000
0.106,1,0,287000
0.11,1,0,287000
0.114,1,0,287000
0.118,1,0,287000
0.122,1,0,287000
0.126,1,0,287000
0.13,1,0,287000
0.134,1,0,287000
0.138,1,0,287000
0.142,1,0,287000
0.146,1,0,287000
0.15,1,0,287000
0.154,1,0,287000
0.158,1,0,287000
0.162,1,0,287000
0.166,1,0,287000
0.17,1,1.58749e-13,287000
0.174,1,2.11663e-13,287000
0.178,1,3.96866e-13,287000
0.182,1,6.87899e-13,287000
0.186,1,1.40226e-12,287000
0.19,1,2.77806e-12,287000
0.194,1,5.74132e-12,287000
0.198,1,1.17208e-11,287000
0.202,1,2.40236e-11,287000
0.206,1,4.90791e-11,287000
0.21,1,9.95868e-11,287000
0.214,1,2.00047e-10,287000
0.218,1,3.98321e-10,287000
0.222,1,7.86058e-10,287000
0.226,1,1.53693e-09,287000
0.23,1,2.97773e-09,287000
0.234,1,5.71634e-09,287000
0.238,1,1.08731e-08,287000
0.242,1,2.0492e-08,287000
0.246,1,3.82656e-08,287000
0.25,1,7.07978e-08,287000
0.254,1,1.29781e-07,287000
0.258,1,2.35711e-07,287000
0.262,1,4.24148e-07,287000
0.266,1,7.56168e-07,287000
0.27,1,1.3356e-06,287000
0.274,1,2.33715e-06,287000
0.278,1,4.05174e-06,287000
0.282,1,6.95881e-06,287000
0.286,1,1.18402e-05,287000
0.29,1,1.99576e-05,287000
0.294,1,3.33254e-05,287000
