x,rho,vitesse,pression
0.002,0.97885,13.5142,278541
0.006,0.977193,14.5831,277881
0.01,0.97544,15.7149,277184
0.014,0.973624,16.8897,276462
0.018,0.971746,18.106,275716
0.022,0.969809,19.3624,274948
0.026,0.967815,20.6575,274157
0.03,0.965768,21.9898,273346
0.034,0.963669,23.358,272516
0.038,0.961521,24.7605,271666
0.042,0.959326,26.1959,270799
0.046,0.957088,27.6628,269916
0.05,0.954807,29.1598,269016
0.054,0.952488,30.6854,268103
0.058,0.950132,32.2384,267175
0.062,0.94774,33.8174,266235
0.066,0.945317,35.4211,265283
0.07,0.942862,37.0484,264320
0.074,0.940379,38.6981,263347
0.078,0.93787,40.3689,262365
0.082,0.935335,42.06,261374
0.086,0.932778,43.7701,260375
0.09,0.930198,45.4985,259368
0.094,0.927599,47.244,258355
0.098,0.924982,49.0059,257336
0.102,0.922347,50.7832,256312
0.106,0.919697,52.5753,255282
0.11,0.917032,54.3812,254248
0.114,0.914354,56.2005,253211
0.118,0.911663,58.0322,252169
0.122,0.908962,59.8758,251125
0.126,0.90625,61.7308,250078
0.13,0.903529,63.5964,249029
0.134,0.9008,65.4722,247977
0.138,0.898064,67.3577,246925
0.142,0.895321,69.2524,245871
0.146,0.892571,71.1558,244816
0.15,0.889817,73.0675,243760
0.154,0.887058,74.9871,242704
0.158,0.884295,76.9142,241647
0.162,0.881529,78.8484,240591
0.166,0.87876,80.7894,239535
0.17,0.875989,82.7369,238480
0.174,0.873216,84.6906,237425
0.178,0.870441,86.6501,236371
0.182,0.867666,88.6152,235318
0.186,0.86489,90.5857,234266
0.19,0.862114,92.5613,233215
0.194,0.859339,94.5417,232166
0.198,0.856564,96.5268,231119
0.202,0.85379,98.5163,230073
0.206,0.851017,100.51,229029
0.21,0.848246,102.508,227987
0.214,0.845477,104.51,226948
0.218,0.842709,106.515,225910
0.222,0.839945,108.524,224874
0.226,0.837182,110.536,223841
0.23,0.834423,112.552,222811
0.234,0.831666,114.57,221782
0.238,0.828913,116.592,220757
0.242,0.826163,118.617,219734
0.246,0.823416,120.644,218713
0.25,0.820674,122.674,217696
0.254,0.817935,124.706,216681
0.258,0.8152,126.741,215669
0.262,0.812469,128.778,214660
0.266,0.809743,130.818,213654
0.27,0.807021,132.859,212651
0.274,0.804304,134.903,211651
0.278,0.801591,136.948,210654
0.282,0.798883,138.996,209660
0.286,0.79618,141.045,208669
0.29,0.793482,143.096,207681
0.294,0.790789,145.149,206697
0.298,0.788101,147.204,205716
0.302,0.785418,149.26,204738
0.306,0.782741,151.317,203763
0.31,0.780069,153.376,202792
0.314,0.777402,155.436,201824
0.318,0.774741,157.498,200859
0.322,0.772085,159.561,199898
0.326,0.769436,161.626,198940
0.33,0.766792,163.691,197985
0.334,0.764153,165.758,197034
0.338,0.761521,167.825,196086
0.342,0.758894,169.894,195142
0.346,0.756273,171.964,194201
0.35,0.753658,174.035,193263
0.354,0.751049,176.107,192329
0.358,0.748446,178.18,191399
0.362,0.74585,180.253,190472
0.366,0.743259,182.328,189548
0.37,0.740674,184.403,188628
0.374,0.738096,186.479,187711
0.378,0.735524,188.556,186798
0.382,0.732958,190.634,185888
0.386,0.730398,192.712,184982
0.39,0.727845,194.791,184079
0.394,0.725297,196.871,183180
0.398,0.722757,198.952,182284
0.402,0.720222,201.033,181392
0.406,0.717694,203.114,180503
0.41,0.715172,205.196,179618
0.414,0.712657,207.279,178736
0.418,0.710148,209.362,177858
0.422,0.707645,211.446,176983
0.426,0.705149,213.53,176111
0.43,0.702659,215.615,175244
