x,rho,vitesse,pression
0.002,0.868506,88.0195,235633
0.006,0.866521,89.4284,234879
0.01,0.864258,91.0366,234022
0.014,0.861959,92.6751,233151
0.018,0.859654,94.3204,232280
0.022,0.85735,95.969,231410
0.026,0.855047,97.6203,230540
0.03,0.852745,99.2743,229673
0.034,0.850444,100.931,228807
0.038,0.848145,102.59,227942
0.042,0.845848,104.251,227079
0.046,0.843552,105.914,226218
0.05,0.841259,107.58,225358
0.054,0.838967,109.248,224500
0.058,0.836678,110.918,223644
0.062,0.834391,112.589,222789
0.066,0.832106,114.263,221937
0.07,0.829824,115.938,221086
0.074,0.827545,117.615,220238
0.078,0.825268,119.294,219391
0.082,0.822994,120.974,218546
0.086,0.820723,122.656,217703
0.09,0.818455,124.339,216863
0.094,0.81619,126.024,216024
0.098,0.813928,127.71,215188
0.102,0.811669,129.397,214353
0.106,0.809414,131.086,213521
0.11,0.807162,132.776,212691
0.114,0.804913,134.468,211863
0.118,0.802668,136.16,211037
0.122,0.800426,137.854,210213
0.126,0.798187,139.548,209392
0.13,0.795953,141.244,208573
0.134,0.793722,142.941,207756
0.138,0.791494,144.639,206942
0.142,0.78927,146.338,206129
0.146,0.78705,148.037,205319
0.15,0.784834,149.738,204512
0.154,0.782622,151.439,203706
0.158,0.780414,153.142,202903
0.162,0.778209,154.845,202102
0.166,0.776008,156.549,201304
0.17,0.773812,158.254,200508
0.174,0.771619,159.959,199714
0.178,0.76943,161.665,198923
0.182,0.767246,163.372,198134
0.186,0.765065,165.08,197347
0.19,0.762889,166.788,196563
0.194,0.760717,168.497,195781
0.198,0.758548,170.206,195002
0.202,0.756384,171.917,194224
0.206,0.754225,173.627,193450
0.21,0.752069,175.339,192677
0.214,0.749918,177.05,191908
0.218,0.74777,178.763,191140
0.222,0.745628,180.476,190375
0.226,0.743489,182.189,189612
0.23,0.741355,183.903,188852
0.234,0.739224,185.617,188094
0.238,0.737099,187.332,187339
0.242,0.734977,189.047,186585
0.246,0.73286,190.762,185835
0.25,0.730747,192.479,185087
0.254,0.728639,194.195,184341
0.258,0.726535,195.912,183597
0.262,0.724435,197.629,182856
0.266,0.72234,199.346,182118
0.27,0.720249,201.064,181381
0.274,0.718163,202.783,180648
0.278,0.716081,204.501,179916
0.282,0.714003,206.22,179187
